建物名稱,地址,總價,格局,建坪,單價,主+陽,屋齡,類型,樓層,邊間/暗房,建物朝向,警衛管理,管理費,url
公園旁電梯美兩房,台北市中山區林森北路,1680萬,2房2廳1衛,23.68坪,70.95 萬/坪,19.2坪,36.5年,華廈/辦公,3樓/8樓,是/否,北,無,1050 元/月,https://www.sinyi.com.tw/buy/house/51951G
民生方正二樓美寓,台北市松山區撫遠街,2080萬,3房2廳1衛,27.75坪,74.95 萬/坪,,48.1年,公寓,2樓/4樓,否/否,北,無,450 元/月,https://www.sinyi.com.tw/buy/house/58969G
皇宮綠園北投電梯三房成家,台北市北投區稻香路,1478萬,3房2廳2衛,28.09坪,52.62 萬/坪,26.56坪,42.9年,華廈,5樓/7樓,否/否,西,日間,1300 元/月,https://www.sinyi.com.tw/buy/house/75084G
內湖信義獨家邊間,台北市內湖區大湖山莊街,1750萬,1房2廳1衛2室,26.03坪,67.23 萬/坪,26.02坪,40.1年,公寓,4樓/5樓,是/是,南,無,--,https://www.sinyi.com.tw/buy/house/61335K
國泰二樓土地１２．２５坪,台北市信義區林口街,2820萬,3房2廳2衛,32.26坪,87.41 萬/坪,32.26坪,49.9年,公寓,2樓/4樓,否/否,東南,無,100 元/月,https://www.sinyi.com.tw/buy/house/13968W
廣慈博愛捷運３房美寓,台北市信義區福德街,2450萬,3房2廳2衛,31.69坪,77.31 萬/坪,28.74坪,38.1年,公寓,3樓/5樓,否/否,西北,無,--,https://www.sinyi.com.tw/buy/house/04950V
高樓邊間水美美美美,台北市中山區民權西路,1980萬,1房1廳1衛,19.58坪,101.12 萬/坪,12.55坪,9.4年,辦公/大樓,9樓/14樓,是/否,北,全天候,2480 元/月,https://www.sinyi.com.tw/buy/house/43693V
高樓兩房有陽台錯過不再,台北市大同區歸綏街,2240萬,2房2廳1衛,41坪,82.04 萬/坪,13.15坪,3.6年,華廈,7樓/10樓,否/否,北,日間,5052 元/月,https://www.sinyi.com.tw/buy/house/22597D
西門威峰明亮高層,台北市萬華區貴陽街二段,1120萬,1房1廳1衛,11.47坪,97.65 萬/坪,8.23坪,4.3年,辦公/大樓,13樓/19樓,否/否,南,全天候,1147 元/月,https://www.sinyi.com.tw/buy/house/85762S
{湖伴}全新稀有釋出,台北市內湖區內湖路二段,3780萬,2房2廳2衛,41.72坪,104.98 萬/坪,20.34坪,1.1年,華廈,3樓/7樓,是/否,北,日間,--,https://www.sinyi.com.tw/buy/house/24095V
便宜到嚇死你,台北市萬華區西園路二段,1128萬,3房2廳1衛,28.43坪,39.68 萬/坪,28.43坪,42.8年,公寓,4樓/5樓,否/否,西北,無,--,https://www.sinyi.com.tw/buy/house/81149H
【精選】稀有電梯擁抱美景,台北市北投區中和街,1780萬,1房2廳1衛,31.05坪,本物件含車位詳洽經紀人員,17.76坪,22.0年,大樓,16樓/17樓,是/否,東北,全天候,2293 元/月,https://www.sinyi.com.tw/buy/house/09898X
民生圓環電梯二房〔專任〕,台北市松山區民生東路五段,2280萬,2房2廳1衛,23.4坪,97.44 萬/坪,19.8坪,39.2年,大樓,8樓/15樓,是/否,南,全天候,--,https://www.sinyi.com.tw/buy/house/75381E
高樓挑高稀有方正捷運宅,台北市大同區五原路,2268萬,1房1廳1衛,23.79坪,本物件含加蓋詳洽經紀人員,15.26坪,12.3年,大樓,10樓/14樓,否/否,西南,全天候,2380 元/月,https://www.sinyi.com.tw/buy/house/92296M
巨蛋捷運兩房車位,高雄市鼓山區文信路,660萬,2房2廳1衛,21.63坪,本物件含車位詳洽經紀人員,,26.0年,大樓,11樓/11樓,否/否,北,全天候,2588 元/月,https://www.sinyi.com.tw/buy/house/15131H
國泰小資宅,新北市板橋區國泰街,398萬,1房2廳1衛,8.75坪,45.49 萬/坪,,47.2年,公寓,3樓/4樓,否/否,東,無,--,https://www.sinyi.com.tw/buy/house/07386S
民生社區超值三房,台北市松山區新東街,1800萬,3房2廳1衛,29.66坪,60.69 萬/坪,29.67坪,47.9年,公寓,3樓/4樓,否/否,西,無,--,https://www.sinyi.com.tw/buy/house/51288J
【精選】民生社區典雅美寓,台北市松山區塔悠路,2460萬,3房2廳1衛,29.06坪,84.65 萬/坪,29.05坪,48.6年,公寓,3樓/4樓,是/否,南,無,350 元/月,https://www.sinyi.com.tw/buy/house/05324C
國泰民生撫遠街低總公寓,台北市松山區撫遠街,1858萬,3房2廳1衛,27.15坪,68.43 萬/坪,27.15坪,47.0年,公寓,4樓/4樓,是/否,北,無,430 元/月,https://www.sinyi.com.tw/buy/house/90388A
龍江路．邊間．公寓二樓,台北市中山區龍江路,1688萬,2房2廳2衛,20.54坪,82.18 萬/坪,20.54坪,45.4年,公寓,2樓/4樓,是/否,南,無,--,https://www.sinyi.com.tw/buy/house/86683D
國泰小資宅,新北市板橋區國泰街,398萬,1房2廳1衛,8.75坪,45.49 萬/坪,,47.2年,公寓,3樓/4樓,否/否,東,無,--,https://www.sinyi.com.tw/buy/house/07386S
面義方國小三房附平車位,台北市北投區泉源路,1450萬,2房2廳2衛1室,48.31坪,31.78 萬/坪,33.03坪,37.2年,大樓,4樓/11樓,否/否,東南,全天候,--,https://www.sinyi.com.tw/buy/house/52401Q
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
