名稱,價格,每坪單價,總坪數,屋齡,車位,格局,類型,電梯,管理費,地址,樓層,座向,url
中正捷運豪華收租套房,"1,090 萬",約44.5 萬/坪,約24.49坪,41.7年,－,4房/ 4衛,公寓 / 住家用,無,－,新北市新莊區中正路,5F / 5F,座東北朝西南,https://www.etwarm.com.tw/houses/buy/665135
三重電梯3房,"1,580 萬",約51.64 萬/坪,約30.6坪,26.2年,－,3房/ 2廳/ 2衛,大樓 / 住家用,有,－,新北市三重區重新路三段,2F / 12F,暫未調查,https://www.etwarm.com.tw/houses/buy/665131
民安小資店面,"1,398 萬",約70.43 萬/坪,約19.85坪,24.9年,－,1房/ 1廳/ 1衛,店面 / 住商用,有,700元 / 月,新北市新莊區民安西路,1F / 8F,座東南朝西北,https://www.etwarm.com.tw/houses/buy/665127
喜市大戶豪邸,"1,100 萬",約16.89 萬/坪,約65.12坪,25.5年,－,6房/ 3廳/ 3衛,公寓 / 住家,無,"1,200元 / 月",基隆市安樂區中和路,－,座西北朝東南,https://www.etwarm.com.tw/houses/buy/665126
源遠路商用住店1F,718 萬,約21.82 萬/坪,約32.91坪,36.8年,－,2房/ 2廳/ 1衛,公寓 / 住家用,無,－,基隆市暖暖區源遠路,－,座東朝西,https://www.etwarm.com.tw/houses/buy/665125
峰景鳳翔明亮一樓,"2,080 萬",請洽各店服務專員,約40.27坪 (含車位坪數),12.5年,有,3房/ 2廳/ 1衛,商辦 / 一般商業設施(一般服務業),有,"2,086元 / 月",新北市新莊區中正路,1F / 14F,座東南朝西北,https://www.etwarm.com.tw/houses/buy/665124
\降價/【太保｜麻魚寮 車位 華廈】,538 萬,約9.41 萬/坪,約57.17坪,28.4年,－,3房/ 2廳/ 2衛,華廈 / 住家用,無,－,嘉義縣太保市中山路一段,－,暫未調查,https://www.etwarm.com.tw/houses/buy/172383
大同國中前地65坪大別墅,"1,980 萬",約43.04 萬/坪,約46坪,36年,－,6房/ 2廳/ 2衛,透天 / 住家用,無,－,彰化縣員林市和平東街一段,－,座西朝東,https://www.etwarm.com.tw/houses/buy/659471
信義國小體育園區3房美寓,588 萬,約22.34 萬/坪,約26.32坪,32.2年,－,3房/ 2廳/ 1衛,公寓 / 住家,無,－,桃園市中壢區大勇三街,－,座西北朝東南,https://www.etwarm.com.tw/houses/buy/659068
田中東閔路店面建地,"1,035 萬",約18.3 萬/坪,約56.57坪,－,－,－,土地 / 建地,－,－,彰化縣田中鎮,－,－,https://www.etwarm.com.tw/houses/buy/659433
天翔三房車,"1,200 萬",請洽各店服務專員,約40.55坪 (含車位坪數),2.7年,坡道平面 1個,3房/ 2廳/ 1衛,大樓,有,"3,040元 / 月",新北市八里區文昌七街,－,座東南朝西北,https://www.etwarm.com.tw/houses/buy/644449
東森-豐社大地坪車庫美透天,"2,198 萬",約39.59 萬/坪,約55.52坪,18.8年,－,5房/ 2廳/ 4衛,透天 / 住家,有,－,台中市豐原區豐社街,－,座南朝北,https://www.etwarm.com.tw/houses/buy/325286
花壇福德巷美透天~2+1樓全新整理，邊間採光佳，近中彰交通便利，適轉角咖啡店！,738 萬,約30.66 萬/坪,約24.07坪,40.7年,－,2房/ 2廳/ 2衛,透天,無,－,彰化縣花壇鄉福德巷,－,座南朝北,https://www.etwarm.com.tw/houses/buy/652242
景華透天別墅,"13,800 萬",約62.86 萬/坪,約219.53坪,24.9年,－,4房/ 5廳/ 3衛,其它 / 別墅,無,"2,700元 / 月",台北市文山區景華街,B1~4 / 4F,座北朝南,https://www.etwarm.com.tw/houses/buy/544203
B36佳瑪百貨收租辦公套房,"5,800 萬",約24.99 萬/坪,約232.05坪,27.8年,－,16房/ 14衛/ 1室,大樓 / 辦公,無,"6,960元 / 月",新北市新莊區中和街,B1 / 13F,座東朝西,https://www.etwarm.com.tw/houses/buy/570693
中誠街3樓有天然瓦斯,"1,058 萬",約42.5 萬/坪,約24.89坪,45.8年,－,3房/ 2廳/ 1衛,公寓 / 住家用,無,－,新北市新莊區中誠街,3F / 4F,座南朝北,https://www.etwarm.com.tw/houses/buy/663490
暖暖稀有一樓店住,750 萬,約23.89 萬/坪,約31.4坪,39.6年,－,1衛,公寓 / 店面,無,－,基隆市暖暖區暖暖街,－,暫未調查,https://www.etwarm.com.tw/houses/buy/663697
自立街三樓,"1,080 萬",約47.99 萬/坪,約22.51坪,45.4年,－,3房/ 2廳/ 1衛,公寓 / 住家用,無,－,新北市新莊區自立街,3F / 4F,座東朝西,https://www.etwarm.com.tw/houses/buy/662471
專任中環溫馨三樓美寓,"1,060 萬",約40.14 萬/坪,約26.41坪,43.1年,－,3房/ 2廳/ 2衛,公寓 / 住家用,無,－,新北市新莊區中環路一段,3F / 4F,座東朝西,https://www.etwarm.com.tw/houses/buy/652118
民安西RC讚讚家,"1,058 萬",約37.22 萬/坪,約28.42坪,33.7年,－,3房/ 2廳/ 1衛,公寓 / 住家用,無,－,新北市新莊區民安西路,5F / 5F,座北朝南,https://www.etwarm.com.tw/houses/buy/662665
