title,introduction,link,price,booking_date,rating_star,rating_count,country,cat_key,,
桃園青埔｜Xpark 都會型水生公園門票,由日本橫濱八景島首度跨海來台桃園開設分館「Xpark」，Xpark 主打新都會型水族館，驅使最先端的科技，營造出環境的溫度、濕度、氣味、聲音，帶您到地球上每個不可思議的角落，受到啟發、感受療癒、洗滌心靈。在 KKday 訂購電子票即可掃 QRcode 入園，不必排隊購票・輕鬆入場！,https://www.kkday.com/zh-tw/product/101517,550,20220315,4.37,35113,台灣,"['博物館&展覽', '景點門票', '城市觀光']",,
2022紫戀薰衣草65折優惠起｜南投九族文化村門票(含水樂園)｜獨家加碼 KKday Points 3 倍送與贈日月潭纜車票,立即上KKday訂購九族文化村門票，現場出示電子憑證即可換票入場，加碼贈送日月潭纜車來回車票，讓您高空盡覽湖光山色的美麗景緻！園區結合原住民文化、歐洲花園、頂尖的遊樂設施聞名台灣，熱門設施包括：西班牙海岸、「加勒比海探險」水上雲霄飛車、自由落體UFO、懸吊式雲霄飛車「馬雅探險」、金礦山等遊樂設施，而娜魯灣劇場「原住民歌舞表演」、九族廣場「祭典會所」的祭典演出，更是九族必看演出，適合親子遊玩的海陸空樂園！,https://www.kkday.com/zh-tw/product/18440,750,20220315,4.8,4500,台灣,"['景點門票', '文化節慶', '主題樂園']",,
【2022 台灣祭特別企劃】2~4日自由行｜高鐵來回票＆墾丁住宿＆專屬周邊＆現場接駁專案| 台灣墾丁,墾丁春吶回歸，2022年度最大盛事 - 台灣祭即將開跑，KKday獨家提供台灣祭專屬紀念商品與高墾接駁及住宿，讓您無須操心安排行程，只要一只皮箱與熱血的心情，出發前往墾丁大灣與百組藝人在四大舞台一同發出最深沉的吶喊。Kkday特別包裝五星福華飯店，讓樂迷能好好放鬆，以 200% 的精力迎戰每一天的音樂震撼。Line UP：張震嶽｜玖壹壹｜美秀集團｜拍謝少年｜怕胖團｜And More！....,https://www.kkday.com/zh-tw/product/126869,1050,20220331,4.8,15,台灣,"['特色表演', '特色行程', '多日遊']",,
【獨家優惠83折】台南學甲｜頑皮世界野生動物園｜獨家長頸鹿手繪門票,立即預訂頑皮世界野生動物園門票，拜訪超萌水豚君、長頸鹿、企鵝、藪貓、科摩多龍...等來自全球五大洲、超過2000多位的動物朋友，現場更提供動物知識小學堂劇場＆戶外特色遊戲場＆室內遊樂設施及最新開幕的「環境教育中心」，即刻徜徉南台灣最大、全亞洲第一座、不受圍籬設限的半開放動物園區魅力。,https://www.kkday.com/zh-tw/product/100025,400,20220315,4.7,1057,台灣,"['景點門票', '主題樂園', '自然生態']",,
【買一送一】台灣嘉義｜阿里山國家森林遊樂區門票｜平假日均可使用（本國籍限定）,森林小火車、神木、雲海、日出與櫻花，阿里山國家森林遊樂區，是台灣最具知名、也最受歡迎的森林遊樂區，五奇絕景最為經典，觀看日出、雲海、晚霞，搭乘阿里山小火車穿梭在森林間，體驗世界僅存的三條登山鐵路之一；不想搭火車的乘客，阿里山國家森林遊樂園也有許多輕鬆的自然步道，讓你輕鬆吸取豐富芬多精，遠離塵囂，立即在 KKday 訂購阿里山國家森林遊樂區門票，體會高山森林的迷人之處。,https://www.kkday.com/zh-tw/product/100459,200,20220315,4.92,796,台灣,"['戶外休閒', '景點門票', '自然生態']",,
台灣花蓮｜新光兆豐休閒農場門票,現在透過 KKday 預訂花蓮新光兆豐休閒農場入場門票，輕鬆享受花蓮自然生態之旅。新光兆豐休閒農場位在風景秀麗的花東縱谷內，獨棟式的渡假木屋座落於大型精緻歐式花園內，展現牧場風光的園區，能近距離親近小動物，享受花蓮自然生態之旅！,https://www.kkday.com/zh-tw/product/118214,320,20220315,4.46,67,台灣,"['景點門票', '戶外休閒', '自然生態']",,
【即買即用】台北士林｜兒童新樂園一日樂Fun券（無限暢玩13項指定設施）,透過 KKday 輕鬆訂購兒童新樂園一日樂FUN券，即買即用，前往旅客服務中心兌換專用手環，即可自由暢玩 13 項指定設施，再也不必每項設施感應悠遊卡！,https://www.kkday.com/zh-tw/product/34133,188,20220315,4.81,2070,台灣,"['景點門票', '主題樂園', '城市觀光']",,
優惠94折｜屏東海生館門票,即訂即用屏東國立海洋生物博物館門票，透過 KKday 線上購票立即擁有 94 折門票優惠！來墾丁必遊全台最大海生館及海底隧道，還能體驗最新 VR 虛擬海世界，豐富的海洋生態及難忘的虛擬體驗在等著你體驗！今年夏天，藉由不同材質媒介，傳達出海洋的燦爛時光！,https://www.kkday.com/zh-tw/product/9468,250,20220315,4.8,3356,台灣,"['景點門票', '身心療育', '特色行程']",,
【2022澎湖花火節】早鳥 85 折｜澎湖｜2022 澎湖國際海上花火節花火船｜遊船海上・島上賞煙火秀,一年一度的台灣澎湖國際海上花火節總是吸引各地人潮前往，事先預訂海上專船最佳觀賞體驗，避開擁擠人群、搭乘快艇直達最佳觀景區，在島上近距離欣賞美麗的煙火，以不同的視角盡情享受浪漫的時刻！,https://www.kkday.com/zh-tw/product/21721,340,20220523,4.56,296,台灣,"['特色表演', '水上活動', '遊船票券']",,
【限時84折優惠】花蓮遠雄海洋公園電子門票,立即在 KKday 訂購花蓮遠雄海洋公園門票，不必排隊購票・輕鬆入場！全台唯一海洋休閒樂園，充滿了夢幻與驚喜，除了好玩、刺激的遊憩設施之外，提供國際級的渡假方式，輕鬆自在享樂優質的休閒渡假旅遊。,https://www.kkday.com/zh-tw/product/107922,780,20220315,4.82,1084,台灣,"['景點門票', '主題樂園']",,
宜蘭礁溪寒沐酒店餐券｜MU TABLE＋大眾湯＋戶外泳池｜須自行電話訂位,來宜蘭礁溪寒沐酒店體驗多樣大眾池水療設施、游泳池及健身房，泡湯後至 MU TABLE 品嚐結合在地食材宜蘭美食，多達 200 道異國美饌，感受星級飯店獨特魅力。旅行中可透過健身、游泳、泡湯來放鬆身心、恢復體力，使身體達到自然的平衡，喚醒您的活力，開啟美好的旅程。或是，拾一本書充實自我，在戶外的躺椅上，擁抱綠意風光、享受日光浴、吟詠讀書樂，領略幽靜歲月的靜好。,https://www.kkday.com/zh-tw/product/31476,799,20220315,4.52,126,台灣,"['當地美食', '身心療育', '特色行程']",,
【買一送一】台灣宜蘭｜太平山國家森林遊樂區門票 ｜平假日均可使用,來到宜蘭太平山，可以觀賞櫻花、賞槭樹與欣賞森林自然之美，多種動植物生態以及美麗的自然景觀，像是健行環山步道，欣賞全台最大的高山翠峰湖，漫步於CNNCNN評比全球最美 28 條小路之一的見晴懷古步道，讓雲霧飄渺的美景環繞於眼前，最後還可以到鳩之澤溫泉，山明水秀的絕景洗滌一身疲憊，快來宜蘭踏踏青，體驗台北近郊這個森林秘境。,https://www.kkday.com/zh-tw/product/100467,150,20220315,4.92,881,台灣,"['戶外休閒', '景點門票', '自然生態']",,
【即買即用】台北｜瘋癲．夢境．神曲─天才達利特展門票,西班牙超現實主義大師薩爾瓦多・達利（Salvador Dalí，1904-1989）的作品描繪夢境、幻想、潛意識及對荒誕生命見解。本次展覽匯聚達利代表作品，包含風景及人物畫作、舞台劇布景、哲學議題想像、為致敬文藝復興時期畫家的創作、靈感的謬思女神-卡拉描繪等；本次最受矚目作品為達利研究十餘年的但丁《神曲》篇章創作，共計100幅，是達利對但丁「天堂」、「地獄」、「煉獄」三大詩集的詮釋。超過百幅真跡作品於中正紀念堂展出中，除了帶給大家不一樣達利印象，作品將更瘋癲、更荒誕，更令人出乎意料！邀請民眾一起進入達利的異想世界，一睹世紀天才的瘋狂魅力！,https://www.kkday.com/zh-tw/product/118414,350,20220315,4.65,201,台灣,['博物館&展覽'],,
"【野餐召集令】KKday獨家限時優惠｜桃園楊梅埔心牧場｜雙人優惠套票組（水豚萌饅頭野餐組, 特製點心）",立即預訂桃園埔心牧場：雙人優惠套票組（水豚萌饅頭野餐組 or 特製點心），套票含門票、再享免費園區乳牛環場列車特色體驗，在園區中與眾多動物朋友見面，輕鬆度過休閒、育樂的一天！,https://www.kkday.com/zh-tw/product/104417,599,20220315,4.65,599,台灣,"['景點門票', '特色行程', '主題樂園']",,
【95 折優惠】台南十鼓仁糖文創園區｜遊園票・星光票（即買即用）,立即在 KKday 預訂十鼓仁糖文創園區門票，直接櫃檯兌換票券入場！一票到底，無限暢玩各項極限設施，還包含免費觀賞十鼓擊樂團現場演出與園區套餐消費抵用券！不管是尋求放鬆休閒或歡樂刺激的體驗，十鼓仁糖文創園區絕對是拜訪台南絕對不能錯過的超人氣景點！,https://www.kkday.com/zh-tw/product/21264,250,20220315,4.68,1603,台灣,['景點門票'],,
【獨家76折優惠】新竹大魯閣湳雅廣場｜福湯岩盤浴門票,立即預訂KKday獨家「福湯岩盤浴門票」，最高現折520元！鄰近新竹火車站，讓你輕鬆抵達即可體驗正宗的日式岩盤浴，快揪親朋好友一起來好好舒壓一下吧！2021年全新開幕，位於新竹大魯閣湳雅廣場B1，沿自日本正宗岩盤浴，結合舒適的客廳空間設計，致力打造全新的舒壓放鬆、休憩空間！一次體驗3種岩盤浴、芬蘭浴及冷卻下雪房，享受擁有近5000冊藏書及沙發吊床的休閒空間，感受最棒的健美紓壓放鬆的天堂！,https://www.kkday.com/zh-tw/product/119325,720,20220316,4.83,769,台灣,"['身心療育', '特色行程']",,
宜蘭龜山島登島半日遊｜登島・環島・賞鯨,現在預訂宜蘭賞鯨龜山島登島半日遊，4 小時內搭船賞鯨、環島、登島！龜山島登島由專業嚮導帶領，帶你從烏石港搭船輕鬆出發，登上太平洋上的神秘仙島—龜山島，一覽龜山島八景！另可選擇每日限量名額 401 高地攻頂挑戰，帶你登上台灣離島第二高山。,https://www.kkday.com/zh-tw/product/5297,900,20220317,4.66,2689,台灣,"['豪華郵輪', '自然生態']",,
【台灣最大動物園】台北市立木柵動物園門票,跟著KKday到台灣深受大小朋友喜愛的木柵動物園，結合保育與教育的最佳遊憩景點，除了有可愛的大熊貓、無尾熊，還有企鵝館、鳥園、爬蟲館及2020最新落成的亞洲雨林區，世界各地的珍貴動物等你來認識！,https://www.kkday.com/zh-tw/product/37596,60,20220315,4.83,269,台灣,['景點門票'],,
【野餐召集令限時 69 折起】新竹六福村主題樂園門票 Leofoo Village｜夢幻版波波草花園派對,立即訂購六福村門票，線上購票更優惠！在六福村遊客服務中心領取，不必排隊購票直接入場！玩遍笑傲飛鷹、大怒神、蒸氣火車、六福水樂園全台唯一冰凍滑道，再跟全世界最稀有珍貴的白老虎說聲嗨！一同留下難忘的回憶。,https://www.kkday.com/zh-tw/product/6370,599,20220315,4.64,1679,台灣,"['景點門票', '主題樂園']",,
【即買即用】台北展覽 | Pingu企鵝家族的誕生: 40 週年巡迴特展門票,立即下訂Pingu 企鵝家族的誕生：40週年巡迴特展門票，將以《Pingu企鵝家族》的原創動畫來歡迎所有參觀者！將帶領大家來到南極 Pingu 與他朋友們的世界。歡迎探索 Pingu的全新魅力， 2022/01/28 - 2022/05/01 將於臺灣科學教育館隆重登場！,https://www.kkday.com/zh-tw/product/123992,350,20220315,4.84,143,台灣,['博物館&展覽'],,
【84折優惠】台北展覽｜小小兵：神偷奶爸大視界特展門票,立即下訂神偷奶爸大視界特展門票，78折優惠！小小兵即將登陸台灣！要帶領大家重溫電影中的特色場景，一起窺探《神偷奶爸》系列電影的魅力。,https://www.kkday.com/zh-tw/product/124241,159,20220315,4.88,259,台灣,['博物館&展覽'],,
【限時特惠】台灣南投｜日月潭遊湖船票 Sun Moon Lake Cruise,立即在 KKday 預訂日月潭遊湖船票 ，在碼頭售票亭領取，直接入場！在 KKday 預訂比現場買還便宜，暢遊水社碼頭、伊達邵碼頭、玄光寺，欣賞日月潭的湖光山色之美。,https://www.kkday.com/zh-tw/product/4018,50,20220315,4.74,1399,台灣,['豪華郵輪'],,
【2022澎湖花火節】台灣澎湖隘門 | BBQ燒烤吃到飽 & 水上活動嗨翻天  | 隘門陽光沙灘,澎湖隘門沙灘，BBQ烤肉吃到飽放鬆享受、水上活動休憩之餘體驗沙灘烤肉樂趣、望著海浪與長達三公里的金黃色沙灘，三五好友享用美食BBQ烤肉最歡樂，水上活動嗨翻天：水上摩托車、歡樂香蕉船、無敵海戰車，親子同樂歡樂刺激，澎湖歡樂回憶帶著走，KKday立即下訂隘門沙灘最愜意。,https://www.kkday.com/zh-tw/product/100868,345,20220401,4.26,311,台灣,"['戶外休閒', 'DIY課程', '當地美食']",,
【泰饗旅遊節】台北六福萬怡酒店餐券｜敘日全日餐廳｜須自行電話訂位,台北六福萬怡酒店敘日全日餐廳，位於飯店 7 樓！擁有輕鬆明亮的寬敞舒適環境，讓您與親友盡情歡聚享受美食，由師傅現場烹調、現點現做，餐廳不定期推出驚喜主題活動，將高級精緻單點料理端上餐檯，絕對是聚餐首選！,https://www.kkday.com/zh-tw/product/28828,1100,20220315,3.96,134,台灣,"['餐廳訂位', '當地美食']",,
【復刻・傳藝九折優惠】台灣宜蘭｜國立傳統藝術中心｜門票、遊程體驗,疫情微解封之際，已抵擋不住出遊的渴望，宜蘭傳藝園區提供你安心安全的戶外場域空間，在 24 公頃的園區內盡情探索遊玩！現在購買立即使用宜蘭傳藝中心門票，不必排隊購票，持 QR Code 輕鬆入場！在 KKday 預訂比現場買還便宜，另有 DIY 體驗方案適合親子活動，一同探索台灣古早戲劇與民俗技藝。,https://www.kkday.com/zh-tw/product/24308,135,20220315,4.84,1573,台灣,"['景點門票', '文史藝術']",,
