title,location_title,deep_link,review_count,review_join,review_star,sell_price,start_time,what_we_love
新加坡海洋光譜號＆海洋量子號 Ocean Getaway 遊船之旅（皇家加勒比海國際郵輪提供）,新加坡,https://www.klook.com//zh-TW/activity/52443-singapore-ocean-getaway-cruise-royal-caribbean-international/,130,4K+,4.2,3135,2022-04-14 00:00:00,
Klook獨家優惠｜台北101觀景台｜門票・ 兒童公益市集套票,台北,https://www.klook.com//zh-TW/activity/1659-taipei-101-taipei/,"30,064",800K+,4.7,82,2022-03-26 00:00:00,"4/2-5/8連續6個周末，台北101觀景台於89F舉辦「愛在雲端101兒童公益市集」活動，現場超過20個童趣互動攤位：小釣手、籃球機、丟沙包、打彈珠、親子手作等，一站玩滿！透過手作、勞作、遊戲的過程，增進親子感情，邊玩邊做公益

![公益市集_A套票_1200X800_2](https://res.klook.com/image/upload/v1646976125/admin-markdown/r04fgzoj0yaxc1cnimej.jpg)

兒童天空體驗提供寓教於樂的體驗內容，課程有從高空認識台北、101小小建築師、101高空故事營、雲端永續體驗營，引導孩童從地理、土木、永續等面向認識全世界最高的綠建築--台北101 （活動陸續推出，採現場預）

另有101件精品義賣，讓您買精品也能做公益！及愛心大使，邀請名人捐出二手服飾與物品，一起加入做公益的行列


"
新北｜野柳地質公園｜門票,台北,https://www.klook.com//zh-TW/activity/9548-yehliu-geopark-admission-ticket-taipei/,"7,474",100K+,4.8,33,2022-03-26 00:00:00,"前往位於台灣新北市的野柳地質公園，那裡有著台灣最多、最獨特的奇岩美石，其中以栩栩如生的女王頭為最著名的地標。除了女王頭外，野柳地質公園在數萬年的海蝕、風化和地殼運動後，形成了海蝕洞溝、蜂窩石、燭狀石、豆腐石、蕈狀岩、壺穴等特殊的地質景觀。美國電視台CNN更曾報導過野柳地質公園的獨特美景，形容這裡媲美太空地質，是地球上最像火星的岩石環境。野柳地質公園為大屯山餘脈伸向海中的一處岬角，全長約1,700公尺，外形如同海龜，故又被稱為「野柳龜」。"
台北｜國立故宮博物院｜電子門票｜台灣籍限定,台北,https://www.klook.com//zh-TW/activity/10136-national-palace-museum-ticket-package-taipei/,"4,074",100K+,4.7,41,2022-03-26 00:00:00,想要深入了解中華文化，那就從國立故宮博物院開始探索吧！一次玩轉台北和嘉義南北兩院故宮！台北故宮博物院的藏品相當豐富，文物珍寶幾乎涵蓋了中華五千年的輝煌歷史，數量多達65萬件，被譽為「中華文化寶庫」。在這裡，你將有機會親眼目睹三大鎮館之寶，包括「肉形石」、「翠玉白菜」和「毛公鼎」，其栩栩如生的整體造型和精細完美的製作工藝，讓人嘆為觀止。除了近距離觀賞各種稀世珍品外，還可以參觀園區的至善園、至德園和張大千紀念館等。當然，嘉義國立故宮博物院也值得前來一探，不同於台北故宮的宮殿式建築外觀，這裡以現代風格的綠色建築聞名，不僅可以看到瓷器、佛經、書畫等精品典藏，各種國內外的展覽也值得遊覽，周邊更有人工濕地、熱帶花園、水岸舞台等休閒區域，讓你在飽覽文化瑰寶之餘，放鬆身心。快來體驗一次中華文化瑰寶的探索之旅，絕對讓你不虛此行！
期間限定｜台北雙層觀光巴士之旅｜TOMICA聯名套票,台北,https://www.klook.com//zh-TW/activity/2921-double-decker-bus-tour-taipei/,"5,138",100K+,4.5,41,2022-03-26 00:00:00,台北雙層觀光巴士，擁有亮眼紅色車身，搭配頂層半露天座位，外觀結合熱門景點繪圖，相當搶眼吸睛，讓你的台北旅程，變得更加便捷和浪漫！白天晚上皆可搭乘，分為經典紅藍路線，行經國父紀念館、行天宮、西門紅樓等景點，車輛上也會搭配中、英、日、韓的多語系導覽系統，方便了解各景點資訊。全天任意上下車，輕鬆暢遊台北熱門景點，自由開啟你的台北熱門地標之旅！
台北｜貓空纜車＆動物園｜套票,台北,https://www.klook.com//zh-TW/activity/16000-maokong-gondola-combo-ticket-taipei/,"6,401",70K+,4.7,66,2022-03-26 00:00:00,想要以不同的方式體驗台灣最精彩絕倫的城市風景嗎？現在就用KLOOK預訂最受歡迎的貓空纜車車票，搭乘「貓纜之眼」水晶車廂，從高空俯瞰貓空悠閒山景、遠眺台北城市天際線。前往訪台旅客最愛景點之一，暫時脫離市區喧囂，到古道縱橫的貓空感受不一樣的城市風景。曾為台北最大產茶區的貓空，已經搖身變為觀光勝地，山上除了有著眾多茶店以外，也有許多保留完善的自然美景，最適合呼朋引伴一同叫上一壺好茶，放下煩憂、共享悠然風景。搭乘底部為強化玻璃製成的水晶車廂，感受懸浮在高空美景之上的刺激樂趣。更棒的是，購買本套票還能搭乘台北雙層觀光巴士，享受玩貓空之美後，再繼續體驗台北夜生活。乘坐在半露天的座位之上，任意遊覽入夜後的都市叢林樣貌，輕鬆抵達各大不容錯過的熱門景點。最有內容的超值套票，等你來體驗！
台北｜北投春天酒店｜大眾湯・湯屋溫泉券｜可選購含餐方案,台北,https://www.klook.com//zh-TW/activity/7950-spring-city-resort-beitou-hot-spring-spa-taipei/,"4,483",60K+,4.5,136,2022-03-26 00:00:00,北投春天酒店位於北投溫泉源頭—大磺嘴的至高點，引流日本號稱「帝王泉」的白磺溫泉，春天溫泉地近源頭而得天獨厚，泉量四季豐沛、源源不斷，完全不受污染，堪稱國內最豪華的溫泉設備。除了泡湯住宿、個人湯屋可以泡湯外，更棒的是露天風呂有多達九種的戶外Spa池，可以闔家大小一起泡溫泉。白磺泉源全年不竭，其泉質少硫磺味，能使膚質更為細緻。不但能享受舒筋活骨的放鬆，還可以欣賞在白煙氤氳中，溫泉水從特殊設計的水龍頭，所流出一道完美的弧線。戶外「露天風呂」中九大功能池的SPA水療設施，種類豐富，帶給你高品質的溫泉體驗！紅檜俱樂部位於春天本館的三樓，佔地百坪，獨創室內溫泉與戶外美景結合的半露天浴池，俱樂部裡擁有頂級及齊全的設備，如觀音石大眾湯池、檜木烤箱、石板浴、蒸氣室、健身房、露天游泳池、人體工學休眠椅、寬廣舒適更衣室、會員專屬閱覽室…等，擁有高品質、極具貼心的環境與服務，享受『帝王泉』白磺溫泉原湯中，佐以自然美景相伴，身心靈頓時解放。悠閒寧靜又提供隱私，提供一個高優質的泡湯環境，尊榮獨享盡在紅檜俱樂部！
台北｜故宮博物院＆順益原住民博物館｜門票,台北,https://www.klook.com//zh-TW/activity/937-national-palace-museum-shung-ye-museum-of-formosan-aborigines-taipei/,"1,170",50K+,4.5,105,2022-03-26 00:00:00,台北故宮與順益原住民博物館聯合推出的聯合通票，讓你以優惠價格，一次遊覽兩大博物館。安排一趟包含文化教育、娛樂和豐富人生的博物館之旅！一天之中飽覽包括翠玉白菜、肉形石在內，以北平、熱河、瀋陽三處清宮文物，為典藏主體的中華璀璨文化，還能投入豐富多元的台灣原住民文化之中。
台北兒童新樂園｜一日票,台北,https://www.klook.com//zh-TW/activity/32301-taipei-childrens-amusement-park-one-day-pass/,"3,137",40K+,4.9,51,2022-03-26 00:00:00,
限時7折｜台北｜美麗華百樂園摩天輪｜門票,台北,https://www.klook.com//zh-TW/activity/17764-miramar-entertainment-park-ferris-wheel-taipei/,"2,294",20K+,4.8,35,2022-03-26 00:00:00,來到台灣最熱鬧的大都會台北，不論是與情人或家人，都不能錯過從美麗華摩天輪欣賞整座城市的絕佳機會！隨著摩天輪緩緩升起再下降，從不同角度欣賞台北市容，是你進一步認識台北的良機。立即透過KLOOK預訂，你就有機會在95公尺的高空中飽覽台北美景，是許多情侶在台北約會的熱門選擇。還有機會體驗夜間表演，欣賞霓虹燈光秀，絕對是浪漫滿分的約會好去處！
