article_id,article_title,author,hot,like,summary
11059,偷偷藏不住,竹已（原著）+橘枳（主笔）+郭晓（编剧）,62.8亿,"4,447,306",那年，桑稚的心里偷偷地住进了一个人，喜欢上哥哥的朋友段嘉许，这个大哥哥有着好看的桃花眼，漫不经心的喊她“小孩”，初见的惊艳总是让桑稚忍不住想要靠近，但是7岁的年龄差仿佛又是他们无法逾越的鸿沟，不知从何时起，埋藏在心底的青涩暗恋逐渐发芽，慢慢地，也蔓延进了他的心里...【独家/每周五更新 责编：莫莉】
6385,星辰于我,犬一,132.56亿,"10,316,903",沐子星五岁时，一个好看的男孩子.司南，如春天的景象一般，突然出现在她的生活里，成为了她的青梅竹马。第一次见面就在玩泥巴而被司南嫌弃后的子星，本以为是被讨厌了，却不知，身边这个清冷又扎眼的少年，一直被她的开朗和笑容所吸引着，这份心情也随着年岁的增长，愈来愈深刻...【独家/周一更新 责编：莫莉】
11077,暗恋：橘生淮南,八月长安（原著）+莉莉君（编绘）,4.99亿,"462,273",振华三部曲之一，爱到刻骨铭心，却无人知晓。只因幼时的一次遇见，洛枳长达十一年的时光里，都有一个隐隐约约的盛淮南。他的再次出现是那么光芒万丈，从此以后，洛枳的日记成了只属于他一个人的独幕剧。因为盛淮南，洛枳一路追随，考上了他的大学。因为各种机缘，洛枳和盛淮南终于走近……【独家/每周三更新 责编：裙子】
13521,水蓝色棋盘,梁阿渣,1.18亿,"251,917",一直彼此暗恋的林波和郑小涛，因为不知道对方的心意而羞于告白，不得已求助于自己的姐妹，林波的妹妹是超大神级的BL作者，郑小涛的姐姐是超大神级的BL小说读者，两位自诩有完美经验的女孩子纷纷给两人出谋划策，一场轻松搞笑的恋爱戏剧就此展开……【独家/每周四更新 责编：橘子】
11066,狐狸的陷阱,Anjeo,14.49亿,"1,591,539",人类少女池吟每一世都在做狐狸的噩梦，这一世也不例外，而这一天，她碰到了真正的狐妖。九尾狐银染却只有八条尾巴，为了拿回绑在池吟手上的断尾，需要实现她一个愿望，但少女只想摆脱他，于是这只坏狐狸把她的生活搅得一团糟，魅惑力满值的脸出现在少女面前，“怎么样，现在要许愿吗？”/【独家/每周六更新 责编：莫莉】
8163,他那么撩,曲小蛐（原著）+这块瓜有毒（主笔）+花村蘑菇（编剧）,54.64亿,"4,501,127",乖乖女学霸秦晴转学第一天，意外被卷入到一场约架之中，秦晴用计救下被围攻的学长，没想到学长竟是人人谈之变色的校霸闻煜风，从此秦晴平静的校园生活将一去不复返。。。【独家/每周四更新 责编：菓子】 
4384,花开未满,莉莉君,60.13亿,"6,763,889",少年时的情愫是一首歌，余音绕梁三世不散；少年时的心情是一阵风，吹散孤独的尘埃，谁都有在年少时期的懵懂和悸动，可是当等待变成没有回应的张望，你是否还会一直注视着少年时的那个人？【独家/每周三更新 责编：莫莉】
3120,昼夜连绵,Anjeo,161.09亿,"18,474,644",她是普通少女，却拥有“死神之眼”，能看见他人的死亡率。受此困扰她却死不了！听见她呼唤的声音，死神翩翩而至。然而，连死神也拿她无能为力？想死的少女和杀不死她的死神将擦出何样的火花？少女能力的背后又隐藏着怎样的秘密...与死神共舞，是无法抵挡的致命诱惑。(独家/已完结 责编：莫莉）
2957,非友人关系,子雾啊,93.74亿,"24,374,674",原本见了面就打架的两个男人，注定做不成朋友，那会是怎样的关系？高冷傲娇的精英少爷对上特立独行的叛逆少年，高中时期结下的的梁子还没了结，本以为不会再见，却在大学开学的新学期发现，成了低头不见抬头见的邻居？！截然不同的两人碰撞出火花，这一次，会拼凑出怎样的青春乐谱？【每周四更新/责编：阿基】
1876,DOLO命运胶囊,兔街子（主笔）+快看漫画团队（编剧）,777.19亿,"72,439,283",不够漂亮也不够聪明，真的只能做最底端的人吗？如果有一种胶囊，能让你逆袭命运，你愿意付出最珍贵的东西去交换它吗？【独家/已完结 责编：林早上】
12399,又被病娇缠上了,乔意棠（原著）+漫神动漫,1.32亿,"93,743",沈念阙雨夜逃杀时误入一栋民宅，里面住着个俊美少年，不仅不怕她的威胁，还亲手帮她处理枪伤。本以为只是一次偶然，但没想到，这个比自己小一岁，体质娇弱的少年后来竟缠上自己了，打不得骂不得，看她的眼神也越来越病态……【独家 责编：蒲仙】
1164,蓝翅,徐璐AKO,215.01亿,"32,086,911",明蓝作为养女来到尚家，被养母南希视作已故女儿的替身，然而尚家两兄弟明晴和明静对她并不欢迎，玩偶的捉弄，虚伪的笑容，同一屋檐下的平静生活被搅乱····一段荡气回肠、命运交错之恋！
991,当校霸爱上学霸,灿灿/夏天岛,329.42亿,"63,955,163",武力值MAX的道场继承人——向小满，为了追男神，决定江湖洗手，转校做一个安安静静的柔弱女子。而未曾想到的是，踏入校园第一天，男神还没追到，却因超凡的战斗力，被学校不良少年误认为男神。究竟小满能否成为男神心中的理想型，顺利转变现有的画风呢？【独家/已完结 责编：哲亚】
3550,拯救我的高一八班,葱渣渣（主笔）+不二千月（脚本）,29.51亿,"4,593,703",中考结束，叛逆少女曹青君和闺蜜曾静静、颜卿幸运的上了同一所高中，还成为了同班同学。而在这个班级里，她又结识了温柔的路迦、个性十足的司启阳、胆小的童海文...而每个少年心里，都有各自的伤痛：被误解、孤独、不被认可...这是她的青春，也是他的青春。幸好，这次有你一起走过。【独家/每周三更新 责编：麦田】
2649,你的目光,阿言,36.47亿,"4,155,006",个性内向不善交际的少女岑云，在整理房间时发现了一对蝴蝶结发饰，戴上后却看到了意想不到的东西……青春期懵懂的感情，害怕你的发现，又渴望你的知晓。我对你倾注的爱意不是来源于你的回应，而是因为我喜欢你。我的目光所及之处，全是你。【独家/每周四更新 责编：柱子】
9267,嗨，树洞同学,六柴,16.65亿,"1,920,043",从小自卑的恐恋少女漫画家向雀雀在大学摇身一变成为美少女，而其实只是为了伪装自己邋遢沙雕的本质。当遇上令她有点怵的同班冷面帅哥后，他阴差阳错成为少女的编剧顾问，殊不知他竟然和陪伴自己网聊好几年的知心好友树洞同学有着紧密的联系...【独家/周三更新 责编：莫莉】
766,怦然心动,※kid岁,2481.56亿,"262,517,746",少男少女同住一个屋檐下，一同历经青春的懵懂和烦恼。画风温馨的超人气少女漫，感受青春悸动的萌芽，这一部就够！【独家/双周二更新 责编：林早上】
4425,爱你有些小偏执,灿灿/夏天岛,23.79亿,"2,723,886",面临大四即将毕业的于芒芒依旧没有男朋友，原因是从高中起她就被各种谣言缠身，导致上大学后连一个朋友都没有，然而就在实习面试这天，她撞上了那个学校的人气校草林佑，最恐怖的是，这个人气王居然要住进我们家？同一屋檐下的他，渐渐展现出自己“恶魔”的一面……【独家/连载中，每周日更新 责编：莫莉】
5938,逆光之绊,bless,24.84亿,"3,576,357",一个大大咧咧满身泥巴，一个高冷面瘫特立独行，但是一次夕阳下逆光中的相遇，两个年轻的人从此产生什么羁绊，人生从此变的不同……【独家/每周二更新 责编：林早上】
4465,白日梦图鉴,帅天森,38.5亿,"4,123,630",恋爱无能的女汉子，无意中得到一款可为自己量身定制男神攻略计划的游戏。嘴上说着不想恋爱的她会加入游戏计划吗？资质一般的她又能通过游戏的层层考验吗？那张隐藏的男神卡又会是谁呢？【独家/每周三更新 责编：莫莉】
932,也许，未来,bless,125.45亿,"25,604,795",少女蔚莱无意中捡到了一台可以拍摄到未来的神秘相机，却发现只对暗恋的学长有作用，“你的未来里，会有我吗？”少女这样想着，举起了相机……【独家/每周六更新 责编：33】
1132,王牌校草,有鹿文化,33.97亿,"10,029,301",他夺走她初吻，她便看光他全身，他故意阻挠她追求男神，她就专门陷害他被花痴非礼。斗智斗勇，见招拆招，胜者为王，败者？暖床！【有鹿文化授权/每周二、周五更新 责编：漠漠】
9202,绝不和狐狸做朋友的兔子,黄二爷/完美世界漫画,3.06亿,"506,821",一个是有着先天缺陷的兔唇少女，一个是拥有超高人气，内心却十分孤独的狐狸女孩，尽管她们身上的特质各不相同，但却是珍贵的“世界上的另一个我。”当她们相遇，一个彼此治愈、互相成长的故事就此开始……【独家/每周日更新 责编：小k】
6452,国民校草是女生,阅文漫画,21.52亿,"1,517,911",表面上她是个废柴。实际上她是众神追捧的z。女扮男装，横霸游戏， 撩妹技术一流！当人们知道“他”是女生时，全民沸腾了！ 傅九：“秦大神，有女朋友吗？” 秦漠放下笔记本：“没有。” 傅九低声开撩：“那么从现在开始你有了，就是我。”【每周日/周一更新】
5669,胡说，哪有什么吸血鬼！,kimoong+Racking,19.8亿,"2,441,291",东夏，山里长大的傻白甜少年进城，被忽悠住进了有四个超A美男的房子，莫名其妙的过上了甜甜的团宠的生活。只是这份宠溺背后是天性的渴望还是信息素的碰撞，抑或只是单纯的食欲？【独家/每周六更新 责编：阿目】
7865,不如在今天恋爱,Woo Ji Hye + Dur,2.23亿,"277,805",暗恋着竹马的姜小琪，被竹马的女友步步紧逼，气的在公园大喊“我要谈恋爱！”的瞬间与校内出名的“神经病”学长相遇！古怪沙雕的学长接二连三的暧昧举动，开始让姜小琪慢慢感兴趣....姜小琪真的能在大学校园里谈一场圆满的恋爱吗？【独家/已完结 责编：皮皮彤】
1187,晨星未落时,葵子,76.48亿,"12,028,509",暗恋四年的男神竟然在梦里吻了我的唇，家族遗传的预知梦真的能让它成真吗？四个人，四段恋情，四种向往。理想前途爱情交织的高三，他们将如何选择？【独家/每周二更新 责编：阿宅】
3093,垫底魔女,交响町+唐糖,63.69亿,"9,573,909",你的梦想是否被人嘲笑过？魔法是这个世界人人向往的东西，可从未接触过魔法的童恩·希尔竟考入了五洲最权威的魔法学院，满怀憧憬的她，却被学校评为了史无前例的「最差学生」，面对嘲笑、贬低、排斥、倔强小魔女能否逆袭？【独家/已完结 责编：小k】
7772,雨川物语,午夜眠睡,17.32亿,"1,356,998",尤萩子，学校里无人不知她的名字——生人勿近气场恐怖、浓妆艳抹横行霸道。而她凶恶的外表下却藏着一颗受伤的心，那些不友善仅为从社交中脱身。可是她本该无聊的日常却被阔别五年的竹马——高萚一再次点亮。眼前人陌生又熟悉，为了重新看到他的笑容，不善交际的她展开了行动…【独家/每月1、11、21更新 责编：33】
2975,血魔恋人,文成（主笔）+六倍利（编剧）,49.76亿,"4,324,839",一个是纯情内向的大小姐，一个是外冷内热的不良少年，两人因为被同一只血魔蜂埋下的毒刺，成了必须靠对方的血液才能活下去的“血伴”。性格迥异的两个人，被命运捆绑在一起，这段因血而起的关系，会有怎样的未来呢？【独家/每周三更新 责编：柱子】
4452,姊非姊,鸥八八,15.19亿,"2,990,761",敏感病娇的弟弟，和总是照顾人的万能姐姐，没有血缘的姐弟，只因为“照顾他”的承诺，陪伴对方成长。但当青春开始悸动，逐渐开始明白，你是我生命中不可替代的人……少年少女的青春成长心事！【独家/每周一更新 责编：莫莉】
4308,不乖,围棋BIBI,33.19亿,"8,286,737",超A叛逆少年向阳，天生反骨混不吝，他难以驯服的样子让大人头痛、同学惧怕，却也深深吸引着班长明煦的目光。而不知从什么时候开始，明煦对向阳的情感渐渐复杂：心疼、愤怒、可怜，还有...？用无时无刻的温柔和一点必要的强硬，最终打动了那个少年。强强碰撞，笑与泪中拥抱救赎【隔周日更新/责编：阿基】
5889,那个男人让我无法拒绝,鸡精君+守,56.56亿,"7,887,987",俗话说祸从口出~管呈在拉丁舞课上因为一句话就被余云飞盯上了，余云飞竟然还步步紧逼闯进他的生活。“等等，这个男人，我怎么好像在哪里见过？”当耿直小憨憨被到处散发荷尔蒙的大坏坏缠上，他到底该怎么办才好呢~【独家/每周四更新 责编：柱子】
2103,星耀未来,Sariel(主笔)+唐小宁/野生组（编剧）,43.98亿,"4,781,208",演艺圈的当红花旦夏未来，为了一部青春校园片重回校园担任老师，然而她真实的目的是追查六年前的真相，抛弃“夏星辰”的旧身份，作为夏未来重生…如今已经成为高冷男神的大男孩厉星白，以及温文尔雅的音乐老师陈楚洛，三个人感情逐渐交织，而当年的真相隐藏在感情的漩涡当中，夏未来这次会如何选择？【独家/已完结】
