title,year,metaScore
"Quo Vadis, Aida?",2021,97
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,96
Rocks,2021,95
Petite Maman,2021,94
Drive My Car,2021,91
Flee,2021,91
Memoria,2021,91
"This Is Not a Burial, It's a Resurrection",2021,91
Procession,2021,90
Wojnarowicz,2021,90
Licorice Pizza,2021,90
The Souvenir: Part II,2021,90
The Power of the Dog,2021,89
Azor,2021,88
The Father,2021,88
Parallel Mothers,2021,88
The Human Voice,2021,88
Days,2021,87
The Velvet Underground,2021,87
Attica,2021,87
Can You Bring It: Bill T. Jones and D-Man in the Waters,2021,87
About Endlessness,2021,87
Hope,2021,87
The Tragedy of Macbeth,2021,87
The Inheritance,2021,86
Wheel of Fortune and Fantasy,2021,86
Sabaya,2021,86
The Lost Daughter,2021,86
The First Wave,2021,85
Judas and the Black Messiah,2021,85
West Side Story,2021,85
The Novice,2021,85
What Do We See When We Look at the Sky?,2021,85
The Green Knight,2021,85
Passing,2021,85
In the Same Breath,2021,85
Atlantis,2021,85
Identifying Features,2021,85
All Is Forgiven (2007),2021,85
The Truffle Hunters,2021,84
Faya Dayi,2021,84
In the Heights,2021,84
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,84
The Rescue,2021,84
Stray,2021,83
The Reason I Jump,2021,83
Writing with Fire,2021,83
The Disciple,2021,83
Limbo,2021,83
Rose Plays Julie,2021,83
Come from Away,2021,83
I Was a Simple Man,2021,83
Saint Maud,2021,83
The Killing of Two Lovers,2021,82
Night of the Kings,2021,82
Labyrinth of Cinema,2021,82
There Is No Evil,2021,82
"Acasă, My Home",2021,82
Two of Us,2021,82
Street Gang: How We Got to Sesame Street,2021,82
Ascension,2021,82
C'mon C'mon,2021,82
Sator,2021,82
Pig,2021,82
Sisters with Transistors,2021,82
Derek DelGaudio’s In & Of Itself,2021,82
The Woman Who Ran,2021,81
Mass,2021,81
Bergman Island,2021,81
State Funeral,2021,81
MLK/FBI,2021,81
Beginning,2021,81
Test Pattern,2021,81
Tina,2021,81
Riders of Justice,2021,81
The Macaluso Sisters,2021,81
Listening to Kenny G,2021,81
The Mitchells vs. The Machines,2021,81
Compartment No. 6,2021,81
The Sparks Brothers,2021,80
Uppercase Print,2021,80
Little Girl,2021,80
Prayers for the Stolen,2021,80
Bill Traylor: Chasing Ghosts,2021,80
Arrebato (1979),2021,80
Last and First Men,2021,80
7 Prisoners,2021,80
"Anne at 13,000 ft",2021,80
The Road to Mandalay,2021,80
"Introducing, Selma Blair",2021,80
The Lost Leonardo,2021,79
Wife of a Spy,2021,79
Luzzu,2021,79
The Fever,2021,79
The Auschwitz Report,2021,79
Roadrunner: A Film About Anthony Bourdain,2021,79
Shiva Baby,2021,79
The One and Only Dick Gregory,2021,79
The Velvet Queen,2021,78
The Humans,2021,78
The Summit of the Gods,2021,78
Playing with Sharks,2021,78
I'm Your Man,2021,78
At the Ready,2021,78
The Human Factor,2021,78
Rita Moreno: Just a Girl Who Decided to Go for It,2021,77
Asia,2021,77
You Will Die At Twenty,2021,77
Ailey,2021,77
Slalom,2021,77
Jockey,2021,77
The Amusement Park,2021,77
The Card Counter,2021,77
The Duke,2021,77
Changing the Game,2021,77
Two Gods,2021,76
I Carry You with Me,2021,76
Not Going Quietly,2021,76
Zola,2021,76
The White Tiger,2021,76
A Cop Movie,2021,76
The County,2021,76
The Meaning of Hitler,2021,76
The Hand of God,2021,76
Son of Monarchs,2021,76
Spencer,2021,76
No Sudden Move,2021,76
"All Light, Everywhere",2021,76
King Richard,2021,76
Pray Away,2021,76
Red Rocket,2021,76
Holler,2021,76
El Planeta,2021,76
Final Account,2021,76
Encanto,2021,75
My Little Sister,2021,75
Undine,2021,75
Raya and the Last Dragon,2021,75
Notturno,2021,75
Fever Dream,2021,75
Belfast,2021,75
Lucky,2021,75
Titane,2021,75
Mandibles,2021,74
Citizen Ashe,2021,74
Beans,2021,74
The French Dispatch,2021,74
Dune: Part One,2021,74
Plan B,2021,74
Becoming Cousteau,2021,74
CODA,2021,74
Enemies of the State,2021,74
Cryptozoo,2021,74
Escape from Mogadishu,2021,74
Sweat,2021,74
"tick, tick...Boom!",2021,74
Bad Luck Banging or Loony Porn,2021,74
Wild Indian,2021,74
Some Kind of Heaven,2021,73
Woodstock 99: Peace Love and Rage,2021,73
Val,2021,73
The World to Come,2021,73
Supernova,2021,73
Benedetta,2021,73
Never Gonna Snow Again,2021,73
Tiny Tim: King for a Day,2021,73
Wet Season,2021,73
Boiling Point,2021,73
My Name Is Pauli Murray,2021,73
The Most Beautiful Boy in the World,2021,73
Hive,2021,73
Dead Pigs,2021,73
The Dig,2021,73
Sisters on Track,2021,72
No Ordinary Man,2021,72
Sophie Jones,2021,72
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2021,72
Nine Days,2021,72
The Mad Women's Ball,2021,72
Four Hours at the Capitol,2021,72
Sweet Thing,2021,72
My Rembrandt,2021,72
The Beta Test,2021,72
Candyman,2021,72
The Suicide Squad,2021,72
The Year of the Everlasting Storm,2021,72
Scales,2021,72
Mogul Mowgli,2021,71
Shang-Chi and the Legend of the Ten Rings,2021,71
Luca,2021,71
Julia,2021,71
Ema,2021,71
Spider-Man: No Way Home,2021,71
Freeland,2021,71
Lorelei,2021,71
Akilla's Escape,2021,71
Twilight's Kiss,2021,71
A Quiet Place Part II,2021,71
The Perfect Candidate,2021,71
Little Fish,2021,71
Preparations to be Together for an Unknown Period of Time,2021,71
Undergods,2021,71
Fauci,2021,70
Sun Children,2021,70
Together Together,2021,70
Who You Think I Am,2021,70
"Tom Petty, Somewhere You Feel Free",2021,70
Nightmare Alley,2021,70
Billie Eilish: The World's a Little Blurry,2021,70
Truman & Tennessee: An Intimate Conversation,2021,70
Swimming Out Till the Sea Turns Blue,2021,70
Summertime,2021,70
Operation Varsity Blues: The College Admissions Scandal,2021,70
Violation,2021,70
Old Henry,2021,69
Only the Animals,2021,69
Censor,2021,69
The Outside Story,2021,69
The Vigil,2021,69
The Dry,2021,69
The Loneliest Whale: The Search for 52,2021,69
Moffie,2021,69
The Boy from Medellín,2021,69
Finding 'Ohana,2021,69
The Harder They Fall,2021,68
The Night,2021,68
The Feast,2021,68
Paper Spiders,2021,68
Lamb,2021,68
Minyan,2021,68
Homeroom,2021,68
Spring Blossom,2021,68
The Water Man,2021,68
The Night House,2021,68
Language Lessons,2021,68
Dream Horse,2021,68
Come True,2021,68
Fear Street Part Three: 1666,2021,68
No Time to Die,2021,68
Black Widow,2021,67
Concrete Cowboy,2021,67
Kid 90,2021,67
Fear Street Part One: 1994,2021,67
The Last Duel,2021,67
PG: Psycho Goreman,2021,67
Brian Wilson: Long Promised Road,2021,67
Spoor,2021,67
Annette,2021,67
The Wanting Mare,2021,67
The Paper Tigers,2021,67
No Man of God,2021,67
Fathom,2021,67
Sublet,2021,67
The Alpinist,2021,67
Oxygen,2021,67
Worth,2021,67
Werewolves Within,2021,66
Swan Song,2021,66
Cyrano,2021,66
Charlatan,2021,66
Cowboys,2021,66
Swan Song,2021,66
The Real Charlie Chaplin,2021,66
Shadow in the Cloud,2021,66
I Care a Lot,2021,66
Vivo,2021,66
Summer of 85,2021,65
Last Night in Soho,2021,65
Drunk Bus,2021,65
Ron's Gone Wrong,2021,65
To All the Boys: Always and Forever,2021,65
Sin,2021,65
The SpongeBob Movie: Sponge on the Run,2021,65
The Courier,2021,65
Knocking,2021,65
Agnes,2021,65
True Mothers,2021,64
Les Nôtres,2021,64
Enforcement,2021,64
Gaia,2021,64
Wolfgang,2021,64
Keep an Eye Out,2021,64
Kurt Vonnegut: Unstuck in Time,2021,64
Barb & Star Go to Vista Del Mar,2021,64
Bombay Rose,2021,64
Cliff Walkers,2021,64
The Man Who Sold His Skin,2021,64
Nobody,2021,64
The Capote Tapes,2021,64
Misha and the Wolves,2021,63
The Guilty,2021,63
The Electrical Life of Louis Wain,2021,63
V/H/S/94,2021,63
Mothering Sunday,2021,63
Falling,2021,63
Blizzard of Souls,2021,63
Stowaway,2021,63
Mayor Pete,2021,63
In the Earth,2021,63
The Matrix Resurrections,2021,63
