title,year,rating,director
My Salinger Year,2020,71,Philippe Falardeau
Palmer,2021,72,Fisher Stevens
Spoor,2017,74,Agnieszka Holland
The World to Come,2020,75,Mona Fastvold
Cruella,2021,74,Craig Gillespie
Percy Vs Goliath,2020,75,Clark Johnson
Pixie,2020,75,Barnaby Thompson
Blue Bayou,2021,75,Justin Chon
Malignant,2021,76,James Wan
The Mauritanian,2021,75,Kevin Macdonald
Godzilla vs. Kong,2021,75,Adam Wingard
Son,2021,76,Ivan Kavanagh
The Spine of Night,2021,80,Philip Gelatt
The Map of Tiny Perfect Things,2021,76,Ian Samuels
Surge,2020,78,Aneil Karia
WeWork: Or the Making and Breaking of a $47 Billion Unicorn,2021,77,Jed Rothstein
Stowaway,2021,76,Joe Penna
Shadow in the Cloud,2020,77,Roseanne Liang
Bad Trip,2021,78,Kitao Sakurai
The Water Man,2020,78,David Oyelowo
I Care a Lot,2020,78,J Blakeson
Cliff Walkers,2021,79,Zhang Yimou
Small Engine Repair,2021,79,John Pollono
The Night,2020,79,Kourosh Ahari
To All the Boys: Always and Forever,2021,79,Michael Fimognari
Everybody's Talking About Jamie,2021,80,Jonathan Butterell
In The Earth,2021,79,Ben Wheatley
Barb & Star Go to Vista Del Mar,2021,80,Josh Greenbaum
Black Widow,2021,79,Cate Shortland
Safety,2020,80,Reginald Hudlin
Bloodthirsty,2020,80,Amelia Moses
Fried Barry,2020,80,Ryan Kruger
Knocking,2021,80,Frida Kempff
The Columnist,2020,80,Ivo van Aart
Summer of 85,2020,80,François Ozon
Ron's Gone Wrong,2021,80,Sarah Smith
Concrete Cowboy,2020,80,Ricky Staub
Free Guy,2021,80,Shawn Levy
Violet,2021,80,Justine Bateman
The Most Beautiful Boy in the World,2021,81,Kristina Lindström
The Feast,2021,82,Lee Haven Jones
Copshop,2021,81,Joe Carnahan
Dementer,2019,83,Chad Crawford Kinkle
Das Vorspiel,2020,83,Ina Weisse
Caveat,2020,81,Damian Mc Carthy
Boys from County Hell,2020,83,Chris Baugh
Fear Street Part One: 1994,2021,83,Leigh Janiak
Spencer,2021,83,Pablo Larraín
No Time to Die,2021,83,Cary Joji Fukunaga
Dune,2021,84,Denis Villeneuve
Misha and the Wolves,2021,84,Sam Hobkinson
Akilla's Escape,2020,84,Charles Officer
Port Authority,2019,84,Danielle Lessovitz
Night Raiders,2021,83,Danis Goulet
Homeroom,2021,84,Peter Nicks
The Power,2021,84,Corinna Faith
Gaia,2021,84,Jaco Bouwer
Nobody,2021,84,Ilya Naishuller
The Mad Women's Ball,2021,85,Mélanie Laurent
Come True,2020,85,Anthony Scott Burns
The Courier,2020,85,Dominic Cooke
The Last Duel,2021,85,Ridley Scott
Jakob's Wife,2021,86,Travis Stevens
Bergman Island,2021,87,Mia Hansen-Løve
Werewolves Within,2021,86,Josh Ruben
Benedetta,2021,86,Paul Verhoeven
The Djinn,2021,87,David Charbonier
Vivo,2021,87,Kirk DeMicco
The Harder They Fall,2021,88,Jeymes Samuel
The Night House,2020,87,David Bruckner
"Tick, Tick... Boom!",2021,88,Lin-Manuel Miranda
The Card Counter,2020,87,Paul Schrader
Belfast,2021,87,Kenneth Branagh
Us Kids,2020,88,Kim A. Snyder
Keep an Eye Out,2018,88,Quentin Dupieux
Vicious Fun,2020,88,Cody Calahan
Operation Varsity Blues: The College Admissions Scandal,2021,88,Chris Smith
Preparations to be Together for an Unknown Period of Time,2021,88,Lili Horvát
Oxygen,2021,88,Alexandre Aja
Violation,2020,88,Dusty Mancinelli
Fear Street Part Two: 1978,2021,88,Leigh Janiak
Dream Horse,2020,89,Euros Lyn
Red Rocket,2021,90,Sean Baker
Zola,2020,88,Janicza Bravo
"Anne at 13,000 ft",2019,89,Kazik Radwanski
Wife of a Spy,2020,89,Kiyoshi Kurosawa
Memoria,2021,89,Apichatpong Weerasethakul
Undine,2020,89,Christian Petzold
Nine Days,2020,89,Edson Oda
Censor,2021,89,Prano Bailey-Bond
Titane,2021,89,Julia Ducournau
The Green Knight,2021,89,David Lowery
High Ground,2020,90,Stephen Johnson
The Stylist,2020,90,Jill Gevargizian
The Queen of Black Magic,2020,90,Gope T. Samtani
Beginning,2020,90,Dea Kulumbegashvili
I Blame Society,2020,90,Gillian Wallace Horvat
The Outside Story,2020,90,Casimir Nozkowski
Beans,2020,90,Tracey Deer
V/H/S/94,2021,90,Simon Barrett
Ailey,2021,90,Jamila Wignot
The Dry,2021,90,Robert Connolly
Bad Luck Banging or Loony Porn,2021,91,Radu Jude
The Vigil,2019,90,Keith Thomas
Together Together,2021,90,Nikole Beckwith
Passing,2021,90,Rebecca Hall
King Richard,2021,91,Reinaldo Marcus Green
The Suicide Squad,2021,90,James Gunn
Promising Young Woman,2020,90,Emerald Fennell
Les Nôtres,2020,91,Jeanne Leblanc
The Oak Room,2020,91,Cody Calahan
True Mothers,2020,91,Naomi Kawase
The Man Who Sold His Skin,2020,91,Kaouther Ben Hania
Raging Fire,2021,91,Benny Chan
Wild Indian,2021,91,Lyle Mitchell Corbine Jr.
Little Fish,2020,91,Chad Hartigan
Moffie,2019,91,Oliver Hermanus
Roadrunner: A Film About Anthony Bourdain,2021,91,Morgan Neville
Encanto,2021,91,Jared Bush
Licorice Pizza,2021,90,Paul Thomas Anderson
Luca,2021,91,Enrico Casarosa
Shang-Chi and the Legend of the Ten Rings,2021,91,Destin Daniel Cretton
A Quiet Place Part II,2021,91,John Krasinski
Truman & Tennessee: An Intimate Conversation,2020,92,Lisa Immordino Vreeland
Days of the Bagnold Summer,2019,92,Simon Bird
Coming Home in the Dark,2021,92,James Ashcroft
Mandibles,2020,92,Quentin Dupieux
The Novice,2021,93,Lauren Hadaway
Holler,2020,92,Nicole Riegel
Swan Song,2021,92,Todd Stephens
PG: Psycho Goreman,2020,92,Steven Kostanski
The Souvenir Part II,2021,92,Joanna Hogg
No Sudden Move,2021,92,Steven Soderbergh
West Side Story,2021,91,Steven Spielberg
Wildland,2020,93,Jeanette Nordahl
My Octopus Teacher,2020,93,Pippa Ehrlich
Baby Done,2020,93,Curtis Vowell
The Capote Tapes,2020,93,Ebs Burnough
Spring Blossom,2020,93,Suzanne Lindon
Pray Away,2020,93,Kristine Stolakis
The Alpinist,2021,93,Peter Mortimer
Martyrs Lane,2021,93,Ruth Platt
Lily Topples The World,2021,93,Jeremy Workman
Only the Animals,2019,93,Dominik Moll
"All Light, Everywhere",2021,93,Theo Anthony
Lucky,2020,93,Natasha Kermani
Final Account,2020,93,Luke Holland
Some Kind of Heaven,2020,93,Lance Oppenheim
The Killing of Two Lovers,2020,93,Robert Machoian
Val,2021,93,Ting Poo
Limbo,2020,93,Ben Sharrock
The Humans,2021,92,Stephen Karam
Saint Maud,2019,93,Rose Glass
The Tragedy of Macbeth,2021,93,Joel Coen
The Power of the Dog,2021,94,Jane Campion
Spider-Man: No Way Home,2021,93,Jon Watts
Never Gonna Snow Again,2020,94,Małgorzata Szumowska
Old Henry,2021,94,Potsy Ponciroli
About Endlessness,2019,94,Roy Andersson
C'mon C'mon,2021,94,Mike Mills
Raya and the Last Dragon,2021,93,Don Hall
In the Heights,2021,94,Jon M. Chu
The Delivered,2019,95,Thomas Clay
Wildfire,2020,95,Cathy Brady
Jimmy Carter: Rock & Roll President,2020,95,Mary Wharton
El Planeta,2021,95,Amalia Ulman
Lapsis,2020,95,Noah Hutton
Street Gang: How We Got to Sesame Street,2021,95,Marilyn Agrelo
Rita Moreno: Just a Girl Who Decided to Go For It,2021,95,Mariem Pérez Riera
Mass,2021,95,Fran Kranz
The Human Factor,2019,96,Dror Moreh
The Disciple,2020,96,Chaitanya Tamhane
Plan B,2021,96,Natalie Morales
In the Same Breath,2021,96,Nanfu Wang
Test Pattern,2021,96,Shatara Michelle Ford
Stray,2021,96,Elizabeth Lo
Slaxx,2020,96,Elza Kephart
The Amusement Park,1973,96,George A. Romero
The Rescue,2021,96,Elizabeth Chai Vasarhelyi
Billie Eilish: The World's a Little Blurry,2021,96,R.J. Cutler
Riders of Justice,2020,96,Anders Thomas Jensen
I'm Your Man,2021,96,Maria Schrader
Shiva Baby,2020,96,Emma Seligman
The Sparks Brothers,2021,96,Edgar Wright
CODA,2021,95,Siân Heder
The Reason I Jump,2020,97,Jerry Rothwell
The Boy Behind the Door,2020,97,David Charbonier
The Human Voice,2020,97,Pedro Almodóvar
The Lost Leonardo,2021,97,Andreas Koefoed
I Carry You With Me,2020,97,Heidi Ewing
Petite Maman,2021,97,Céline Sciamma
The Truffle Hunters,2020,97,Michael Dweck
The Worst Person in the World,2021,96,Joachim Trier
Parallel Mothers,2021,97,Pedro Almodóvar
The Mitchells vs. the Machines,2021,97,Mike Rianda
Pig,2021,96,Michael Sarnoski
Judas and the Black Messiah,2021,97,Shaka King
Liyana,2017,98,Aaron Kopp
Assassins,2020,98,Ryan White
7 Prisoners,2021,98,Alexandre Moratto
Days,2020,98,Ming-liang Tsai
Attica,2021,98,Stanley Nelson
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,98,Haruo Sotozaki
Hope,2019,98,Maria Sødahl
My Heart Can't Beat Unless You Tell It To,2020,98,Jonathan Cuartas
Sweat,2020,98,Magnus von Horn
There Is No Evil,2020,98,Mohammad Rasoulof
Apples,2020,98,Christos Nikou
Becoming Cousteau,2021,98,Liz Garbus
The Paper Tigers,2020,98,Quoc Bao Tran
Boiling Point,2021,99,Philip Barantini
Gunda,2020,98,Victor Kossakovsky
Julia,2021,97,Julie Cohen
Two of Us,2019,98,Filippo Meneghetti
MLK/FBI,2020,98,Sam Pollard
The Velvet Underground,2021,98,Todd Haynes
Flee,2021,98,Jonas Poher Rasmussen
Drive My Car,2021,97,Ryûsuke Hamaguchi
The Father,2020,98,Florian Zeller
Minari,2020,98,Lee Isaac Chung
Identifying Features,2020,99,Fernanda Valadez
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,99,"Ahmir ""Questlove"" Thompson"
"Acasa, My Home",2020,100,Radu Ciorniciuc
Changing the Game,2019,100,Michael Barnett
The Woman Who Ran,2020,100,Hong Sang-soo
Paper Spiders,2021,100,Inon Shampanier
Mayor,2020,100,David Osit
Azor,2021,100,Andreas Fontana
Hive,2021,100,Blerta Basholli
Sabaya,2021,100,Hogir Hirori
Luzzu,2021,100,Alex Camilleri
Woodlands Dark and Days Bewitched: A History of Folk Horror,2021,100,Kier-La Janisse
Slalom,2020,100,Charlène Favier
"Quo Vadis, Aida?",2020,100,Jasmila Zbanic
76 Days,2020,100,Hao Wu
