電影(中),電影(英),最快可訂票場次,剩餘座位
(數位)青春換日線,REBORN, 2022-03-27 21:25,41/60
(數位)劫命救護,AMBULANCE, 2022-03-27 18:35,41/60
(數位)劇場版 咒術迴戰0,JUJUTSU KAISEN ZERO, 2022-03-27 18:40,37/65
(數位)咒,INCANTATION, 2022-03-27 18:40,71/171
(數位 國)壞蛋聯盟,THE BAD GUYS, 2022-03-27 18:45,31/50
(數位 英)壞蛋聯盟,THE BAD GUYS, 2022-03-27 21:50,44/65
(數位)今敏：造夢魔術師,SATOSHI KON IILLUSIONNISTE, 2022-03-27 18:45,44/60
(數位)魔法水果籃前奏曲,FRUITS BASKET - PRELUDE-, 2022-03-27 18:55,48/65
(數位)漂浪人生,FLEE, 2022-03-27 19:05,33/45
(數位)盜夢睡務員,STRAWBERRY MANSION, 2022-03-27 19:10,46/60
(數位)少年吔,UNTOUCHABLE, 2022-03-27 19:20,30/65
(數位)野夏天,SUMMER, 2022-03-27 19:20,35/50
(數位)相撲道,SUMODO, 2022-03-27 19:25,41/60
(數位)救命緝約,THE CONTRACTOR, 2022-03-27 19:40,45/65
(數位)電影版 DEEMO 櫻色旋律  你所彈奏的琴聲 至今仍在迴響,DEEMO MEMORIAL KEYS I STILL HEAR THE SOUND OF, 2022-03-27 19:45,38/55
(數位)蝙蝠俠,THE BATMAN, 2022-03-27 19:50,26/60
(數位)愛你讓我自由,GREAT FREEDOM, 2022-03-27 20:30,33/45
(數位)王者理查,KING RICHARD, 2022-03-27 20:35,39/55
(數位)貝爾法斯特,BELFAST, 2022-03-27 20:40,48/65
(數位)為人民服務,SERVE THE PEOPLE, 2022-03-27 20:45,34/50
(數位)如果有一天我將會離開你,BEFORE NEXT SPRING, 2022-03-27 20:55,33/45
(數位)時代革命,REVOLUTION OF OUR TIMES, 2022-03-27 21:00,45/60
(數位)我記得,I REMEMBER, 2022-03-27 21:35,38/55
(數位)接棒家族,AND SO THE BATON IS PASSED, 2022-03-27 22:45,33/45
(數位)秘境探險,UNCHARTED, 2022-03-27 23:40,41/60
(數位)丟包大作戰,YOU KEEP THE KIDS, 2022-03-27 23:55,46/60
(數位)奇怪的數學家,IN OUR PRIME, 2022-03-28 00:00,38/55
