電影(中),電影(英),上映日期,片長,發行公司,評分
咒,Incantation,2022-03-18,01時50分,牽猴子股份有限公司,#3.8/5
壞蛋聯盟,The Bad Guys,2022-03-18,01時40分,環球,7.1/10
魔法水果籃 -前奏曲-,Fruits Basket -prelude-,2022-03-18,01時29分,曼迪傳播,9.5/10
願未央,Unfulfilled Dreams,2022-03-18,01時54分,目宿媒體,6.0/10
今敏：造夢魔術師,"Satoshi Kon,The Illusionist",2022-03-18,01時22分,光年映畫&政駒實業,7.3/10
遊走塵市間,Dust-Man,2022-03-18,01時32分,中影,4.8/10
獵殺戰場,Monsters of Man,2022-03-18,02時02分,峻龍,5.4/10
丟包大作戰,You Keep The Kids!,2022-03-18,01時44分,威視電影,6.0/10
全面掃蕩,Clean,2022-03-18,01時34分,天馬行空,5.6/10
終極堡壘,Fortress,2022-03-18,01時39分,車庫娛樂,3.5/10
少年吔,Untouchable,2022-03-18,01時59分,星泰娛樂,#3.7/5
高山上的熱氣球,Echo,2022-03-18,01時49分,前景娛樂,#4.0/5
奇怪的數學家,In Our Prime,2022-03-18,01時58分,車庫娛樂,6.1/10
劫獄救援,Ida Red,2022-03-18,01時51分,可樂電影,5.5/10
極限逃殺,The Ledge,2022-03-18,01時26分,采昌,5.1/10
藍色恐懼：數位修復版,Perfect Blue,2022-03-18,01時22分,光年映畫,8.0/10
東京教父：4K數位修復版,Tokyo Godfathers,2022-03-18,01時32分,光年映畫,7.8/10
該死的阿修羅,Goddamned Asura,2022-03-11,01時54分,希望行銷、內容物,7.5/10
青春換日線,Reborn,2022-03-11,01時51分,原創娛樂．峰起云湧影業,#3.9/5
貝爾法斯特,Belfast,2022-03-11,01時38分,環球影業,7.3/10
茲山魚譜,The Book of Fish,2022-03-11,02時06分,捷傑電影,7.5/10
接棒家族,And So The Baton Is Passed,2022-03-11,02時17分,車庫娛樂,7.2/10
再見列寧！,"Good bye, Lenin!",2022-03-11,02時01分,海鵬,7.7/10
平行母親,Parallel Mothers,2022-03-04,02時03分,傳影互動ifilm,7.1/10
蝙蝠俠,The Batman,2022-03-03,02時56分,華納兄弟,8.4/10
春光乍洩 4K修復,Happy Together,2022-02-25,01時36分,CATCHPLAY,7.7/10
時代革命,Revolution of Our Times,2022-02-25,02時32分,影樂國際,9.3/10
瑪雅蜜蜂大冒險：守護小金蛋,Maya the Bee – The Golden Orb,2022-02-25,01時28分,華映,5.3/10
劇場版 咒術迴戰 0,Jujutsu Kaisen 0: The Movie,2022-02-24,01時45分,車庫娛樂,8.3/10
電影版 昨日的美食,What Did You Eat Yesterday?,2022-02-18,02時00分,車庫娛樂,8.4/10
世界上最爛的人,The Worst Person in the World,2022-02-18,02時07分,好威映象,7.9/10
黑盒線索,Black Box,2022-02-18,02時10分,采昌,7.2/10
秘境探險,Uncharted,2022-02-17,01時56分,索尼影業,6.7/10
尼羅河謀殺案,Death on the Nile,2022-02-11,02時07分,迪士尼,6.6/10
讓我聽見愛的歌聲,Sing A Bit Of Harmony,2022-02-11,01時48分,木棉花,7.4/10
在車上,Drive My Car,2022-02-11,02時59分,東昊,7.7/10
歡樂好聲音2,Sing 2,2022-01-28,01時50分,環球影業,7.5/10
素還真,DEMIGOD：The Legend Begins,2022-01-28,01時43分,伯樂影業、威視電影,7.0/10
我吃了那男孩一整年的早餐,My Best Friend’S Breakfast,2022-01-28,01時59分,華映,6.2/10
西城故事,West Side Story,2022-01-21,02時36分,迪士尼,7.8/10
屁屁偵探：舒芙蕾島的秘密,Butt Detective Movie,2022-01-21,01時33分,台北双喜,#2.3/5
妖果小學-水果奶奶的大秘密,Monster Fruit Academy,2022-01-21,01時13分,牽猴子,#3.9/5
蜘蛛人：無家日,Spider-Man: No Way Home,2021-12-15,02時28分,索尼影業,8.8/10
偶然與想像,Wheel of Fortune and Fantasy,2021-11-26,02時01分,東昊,7.6/10
月老,Till We Meet Again,2021-11-24,02時08分,麻吉砥加電影有限公司,6.9/10
王者理查,King Richard,2021-11-18,02時24分,華納兄弟,7.6/10
史賓賽,Spencer,2021-11-05,01時56分,車庫娛樂,7.0/10
影子背後,In The Shadow,2021-09-17,01時38分,春暉映像有限公司,#4.1/5
沙丘,Dune,2021-09-16,02時35分,華納兄弟,8.4/10
不丹是教室,Lunana: A Yak in the Classroom,2020-07-17,01時49分,海鵬,8.4/10
