subtopic,標題,作者,日期
板務公告,【公告】 板務集中討論區,ace0824,01/04 16:34
板務公告,【閒聊】吐苦水區,NARUTO001,01/29 11:30
推薦專區,【推薦】在您心中認為值得推薦，真正好的動畫（相關歌曲）、漫畫或其相關電玩作品。,shao790531,03/02 22:56
板務公告,【公告】新版–動漫相關進板圖徵集（5/28檔案大小更新）,NARUTO001,09/23 11:57
捏他專區,【討論】2022 年一月新番《擅長捉弄人的高木同學 第三季》動畫集中討論串,kanonhg,今日 09:33
捏他專區,【討論】2022年1月新番《里亞德錄大地》集中討論串,pencore,今日 09:31
最新情報,【情報】《閃之軌跡》系列 TV動畫化決定，2023年放送！,ready0204,01/31 17:00
捏他專區,【心得】2021年秋番《魯邦三世 PART6》集中討論串,mrw25227,03/24 12:02
最新情報,【情報】《即使如此依舊步步進逼》TV動畫 2022年7月放送開始！,ready0204,今日 09:08
最新情報,【情報】《黑之召喚士》2022 年動畫化確定，SATELIGHT 擔綱製作！,kanonhg,今日 09:04
綜合討論,【問題】jump三本柱是不是火影相較正經?,simplemoller,今日 09:03
最新情報,【情報】RWBY全新企劃-虛淵玄+沖方丁,s2751138,今日 08:58
最新情報,【情報】都築真紀原作 完全新作原創作品《Extreme Hearts》釋出第三波前導視覺圖「前原純華」,nk940155,今日 08:52
最新情報,【情報】Spy x Family間諜家家酒動畫化,sazma555,今日 08:47
最新情報,【情報】輕小說《關於我在無意間被隔壁的天使變成廢柴這件事》動畫化確定，相關情報大舉釋出！,kanonhg,今日 08:41
捏他專區,【討論】2022年冬番《少女前線》集中討論串,sweet7208,今日 05:30
綜合討論,【討論】2022年1月新番《東方少年》集中討論串,asas12guy,今日 03:25
捏他專區,【討論】2022年冬番《CUE！》集中討論串,sweet7208,今日 03:20
捏他專區,【討論】2021春番《86－不存在的戰區－》集中討論串,ready0204,今日 03:02
捏他專區,【討論】2022年1月冬番《秘密內幕～女警的反擊～》 集中討論串,k41077571,今日 02:38
捏他專區,【討論】2022年1月新番《SLOW LOOP-女孩的釣魚慢活-》集中討論串,pencore,今日 02:30
綜合討論,【討論】看過小林家的龍女僕，對別部奶子沒興趣？,mnop09876543,今日 02:26
綜合討論,【討論】2022 年一月新番《天才王子的赤字國家重生術》動畫集中討論串！,asas12guy,今日 01:46
捏他專區,【討論】2022年1月動畫《明日同學的水手服》集中討論串,n1028459,今日 01:43
綜合討論,【討論】2022年1月新番《平凡職業造就世界最強 第二季》集中討論串,asas12guy,今日 01:01
最新情報,【情報】《擅長捉弄人的高木同學》TV動畫 第三季&電影製作決定，2022年放送！,ready0204,今日 00:57
綜合討論,【討論】2022 年一月新番《TRIBE NINE 》動畫集中討論串,asas12guy,今日 00:42
捏他專區,【討論】2021年10月新番–國王排名集中討論串,gsp406,今日 00:12
綜合討論,【討論】2022 年一月新番《失格紋的最強賢者》集中討論串,asas12guy,昨日 23:44
捏他專區,【討論】2022年1月冬番《最遊記RELOAD -ZEROIN-》 集中討論串,mrw25227,昨日 23:42
最新情報,【情報】原創動畫《Lycoris Recoil》2022年7月放送開始！,ready0204,昨日 23:02
捏他專區,【討論】2022冬番《東京24區》集中討論串,ready0204,昨日 21:26
綜合討論,【心得】國王排名完結心得分享,ext5862400,昨日 19:30
綜合討論,【心得】【進擊的巨人X約定的夢幻島】五大劇情相似點，鬼吃人、牆內的假世界，相似度超高！,piiruko,昨日 18:11
