Name,Location,Price,Category,In Stock
黑秈糙米,台灣,$45,米、麵食品,588
枸杞,中國,$225,南北雜貨,432
特級薰衣草,法國,$30,飲品、茶類,619
七味唐辛子,台灣,$15,辛香料,93
瑪莎拉奶茶粉,印度,$50,飲品、茶類,675
鷹嘴豆,美國,$30,南北雜貨,434
無花果乾,土耳其,$80,零食,700
龍眼蜜,泰國,$150,飲品、茶類,167
益生菌手作優格粉,加拿大,$285,飲品、茶類,21
天然驅蟲膏,紐西蘭,$620,日常用品,38
紅冰糖,台灣,$15,調味醬料,569
即食大燕麥片,芬蘭,$20,飲品、茶類,489
彩虹蔬果麵,台灣,$30,米、麵食品,643
肉桂條,斯里蘭卡,$60,辛香料,513
清淨海 環保洗碗精,台灣,$225,日常用品,364
竹牙刷,中國,$90,日常用品,169
棕綠扁豆,印尼,$45,南北雜貨,319
羅勒青醬,義大利,$155,調味醬料,7
五香粉,台灣,$10,辛香料,373
杏仁果,澳洲,$130,零食,816
天然海鹽,英國,$75,調味醬料,959
高纖原味可可粉,立陶宛,$220,飲品、茶類,19
腰果,越南,$115,零食,272
香草莢,馬達加斯加,$190,辛香料,173
