產品名稱,產地,價錢,庫存
二號砂糖,台灣,$10,891
月桂葉,土耳其,$50,711
紅椒粉,匈牙利,$20,817
胡萎子,印度,$10,908
酸黃瓜罐,法國,$160,26
有機黑豆蔭油露,台灣,$180,223
過碳酸鈉,韓國,$10,106
紅小麥,美國,$10,742
黃金水蜜桃果乾,中國,$105,161
收納保鮮盒,中國,$100,989
全胚芽蕎麥,馬來西亞,$20,677
燉飯米,義大利,$40,123
藍莓乾,美國,$200,246
豬鬃毛刷具,台灣,$50,133
荷荷芭按摩油,巴拿馬,$140,12
無麩質亞麻籽粉,美國,$120,874
梅子粉,台灣,$10,331
杜松子,波士尼亞,$20,861
手工堅果燕麥片,台灣,$100,636
愛玉子,台灣,$150,43
嫩葉海帶芽,韓國,$130,497
魚露,泰國,$60,21
巴西里,波蘭,$40,328
乾燥辣椒條,中國,$10,91
甜味咖哩粉,斯里蘭卡,$40,827
開心果,台灣,$110,539
蔓越莓乾,加拿大,$45,401
芥茉籽醬,法國,$130,48
矽膠吸管組,加拿大,$250,81
暹羅泰式酸甜醬,泰國,$120,57
