來源,標題,作者,日期,網址
,,,,
UDN News,民調北市吊車尾 張金鶚：天龍國好治理 施政要尊重專業,聯合報/記者楊正海／台北即時報導,2022/3/27 10:12,https://udn.com//news/story/122730/6194626?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,3種情況快篩自己來 選購認明「家用」2字,中央社/台北27日電,2022/3/27 09:54,https://udn.com//news/story/120940/6194540?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,逐步解封加強自主應變 企業「防疫長」出列,中央社/中央社,2022/3/27 09:51,https://udn.com//news/story/120940/6194549?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,防疫催生家用快篩 將朝國產自給自足,中央社/台北27日電,2022/3/27 09:31,https://udn.com//news/story/120940/6194532?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,外縣市確診者案22639足跡到台中 市府：無接觸者,聯合報/記者黃寅／台中即時報導,2022/3/27 09:11,https://udn.com//news/story/120940/6194574?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,獨／時代力量悄開黨代表大會 為徵召黃國昌參選爆衝突,聯合報/記者吳亮賢／台北即時報導,2022/3/27 08:15,https://udn.com//news/story/6656/6194514?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,為何輝瑞疫苗不採單一定價而是三階段？ 藥廠自揭密辛「一頓簡單飯菜的價格」,聯合新聞網/天下文化出版,2022/3/27 08:11,https://udn.com//news/story/122190/6194503?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,選戰拉聲量 外號+Rap狂洗腦  看誰最潮,聯合報數位版/聯合報數位版,2022/3/27 00:51,https://udn.com//news/story/122682/6194438?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,基隆新增確診2警與染疫偵查隊長足跡重疊 都曾同桌吃飯,聯合報/記者游明煌／基隆即時報導,2022/3/27 00:34,https://udn.com//news/story/120940/6194426?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,結合全球台商力量 蔡總統肯定世總成立CPTPP工作小組,中央社/台北26日電,2022/3/27 00:20,https://udn.com//news/story/6656/6194260?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,基隆疫情擴大…今晚傳再增2警確診 指揮中心證實,聯合報/記者許政榆／台北即時報導,2022/3/26 23:23,https://udn.com//news/story/120940/6194285?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,刑事餐會風暴擴大再傳2警確診 基隆4個分局全淪陷,聯合報/記者游明煌／基隆即時報導,2022/3/26 23:23,https://udn.com//news/story/120940/6194282?from=udn-ch1_breaknews-1-cate1-news
,,,,
UDN News,北部確診男到台中成功嶺懇親！11接觸者採檢結果出爐,聯合報/記者趙容萱／台中即時報導,2022/3/26 23:17,https://udn.com//news/story/120940/6194267?from=udn-ch1_breaknews-1-cate1-news
