col1,col2,col3,col4,col5
world,https://news.ltn.com.tw/news/world/breakingnews/3873035,https://img.ltn.com.tw/Upload/news/250/2022/03/27/phpygaE3c.jpg,市長被俄軍擄走！烏國市民無懼開火驅離 逼到退兵放人,2022/03/27 01:31
life,https://news.ltn.com.tw/news/life/breakingnews/3873031,https://img.ltn.com.tw/Upload/news/250/2022/03/27/3873031_1_1.jpg,過期食品供餐！每天1300份供應2年多 高雄黑心業者法辦,2022/03/27 00:33
world,https://news.ltn.com.tw/news/world/breakingnews/3873029,https://img.ltn.com.tw/Upload/news/250/2022/03/26/phpj8FCTr.jpg,烏西利維夫附近傳爆炸巨響 情況不明,2022/03/27 00:31
world,https://news.ltn.com.tw/news/world/breakingnews/3872990,https://img.ltn.com.tw/Upload/news/250/2022/03/26/phpWAgwwY.jpg,高級戰利品！ 烏克蘭擄獲俄軍重要飛彈雷達偵察系統,2022/03/27 00:16
world,https://news.ltn.com.tw/news/world/breakingnews/3873032,,"攻烏第31天 俄稱無徵召後備軍人計畫",2022/03/27 00:15
life,https://news.ltn.com.tw/news/life/breakingnews/3873027,https://img.ltn.com.tw/Upload/news/250/2022/03/26/3873027_1_1.jpg,嘉義市「60年前 118之後」 白河大地震紀錄片今影展放映,2022/03/27 00:13
society,https://news.ltn.com.tw/news/society/breakingnews/3873030,https://img.ltn.com.tw/Upload/news/250/2022/03/27/3873030_1_1.jpg,5旬男疑欠債、久病厭世房內尋短 老父回家急報案,2022/03/27 00:10
life,https://news.ltn.com.tw/news/life/breakingnews/3873017,https://img.ltn.com.tw/Upload/news/250/2022/03/26/3873017_1_1.jpg,你大港開唱了嗎？ 陳其邁：年年我都來、這一年很不一樣,2022/03/27 00:01
world,https://news.ltn.com.tw/news/world/breakingnews/3872743,https://img.ltn.com.tw/Upload/news/250/2022/03/26/phphsqvtW.jpg,曝港急症室全是屍體！藍絲作家父染疫亡 怒轟林鄭：請別再笑,2022/03/26 23:58
politics,https://news.ltn.com.tw/news/politics/breakingnews/3872991,https://img.ltn.com.tw/Upload/news/250/2022/03/26/phpdxKBzz.png,藍初選領表費5萬！莊為傑：因人設事 白喬茵：不會為差額轉綠,2022/03/26 23:55
world,https://news.ltn.com.tw/news/world/breakingnews/3873025,https://img.ltn.com.tw/Upload/news/250/2022/03/26/3873025_1_1.jpg,德國兩邦下禁令 秀「Z」字挺俄侵略坐牢3年,2022/03/26 23:46
world,https://news.ltn.com.tw/news/world/breakingnews/3872978,https://img.ltn.com.tw/Upload/news/250/2022/03/26/phpE99TLw.jpg,神學士「髮夾彎」收回女性受教權  美國秒取消經濟談判,2022/03/26 23:38
world,https://news.ltn.com.tw/news/world/breakingnews/3873011,https://img.ltn.com.tw/Upload/news/250/2022/03/26/php0WT3A6.jpg,拜登在波蘭會見烏克蘭難民 稱普廷為「屠夫」,2022/03/26 23:37
world,https://news.ltn.com.tw/news/world/breakingnews/3873003,https://img.ltn.com.tw/Upload/news/250/2022/03/26/php3Jgg0R.jpg,搜索6日！ 中國官方證實：東航班機132名乘客已全數罹難,2022/03/26 23:36
life,https://news.ltn.com.tw/news/life/breakingnews/3873018,https://img.ltn.com.tw/Upload/news/250/2022/03/26/phpQsbNxN.jpg,基警群聚案+2！ 指揮中心深夜緊急公布,2022/03/26 23:23
breakingnews,https://ent.ltn.com.tw/news/breakingnews/3873010,https://img.ltn.com.tw/Upload/ent/page/400S/2022/03/26/phpXftMsQ.jpg,G奶戰神回應舊照風波 曬「一片肉色」赤裸透視裝,2022/03/26 23:21
politics,https://news.ltn.com.tw/news/politics/breakingnews/3873002,https://img.ltn.com.tw/Upload/news/250/2022/03/26/php11KwH8.jpg,台美關係正常化 林佳龍：台灣國家要先正常化,2022/03/26 23:18
breakingnews,https://ent.ltn.com.tw/news/breakingnews/3873013,https://img.ltn.com.tw/Upload/ent/page/400S/2022/03/26/php8CytEJ.jpg,（專訪）傻子與白痴主唱偏愛郭婞淳 型男首推李小龍,2022/03/26 23:18
politics,https://news.ltn.com.tw/news/politics/breakingnews/3872949,https://img.ltn.com.tw/Upload/news/250/2022/03/26/3872949_1_1.jpg,屏縣長初選政見會後首度合體 3選將零互動避談表現,2022/03/26 23:14
life,https://news.ltn.com.tw/news/life/breakingnews/3872969,https://img.ltn.com.tw/Upload/news/250/2022/03/26/3872969_2_1.jpg,大霧擋行程 金門縣長、立委聯手向交通部爭設風景區管理處,2022/03/26 23:11
