"标题","摘要","作者","链接","发表时间","","",""
"BEAUTIFYING AND WHITENING COSMETIC","摘要:获得一种美容美白化妆品，含有原花青素作为活性成分，显著改善对皮肤的美白效果，对皮肤具有极好的安全性。构成：一种美容和美白化妆品，通过将含有原花青素的原花青素低聚物，优选二聚体的原花青素与十聚体的原花青素混合而成，十聚体中含有以下化合物（R为H或OH；R'为H、没食子酸甘油酯或吡喃甘酯），以0.01-10wt%的量作为活性成分结合为组成单元，优选0.1-5wt.%基于上述化妆品成分的重量，对色素细胞具有强大的美白作用，安全性高。此外，上述活性成分是通过从植物体中提取获得的，例如圆果壳、蔓越莓或大麦，以及进一步从二氢槲皮素和儿茶素或表儿茶素中合成的方法。","KIKKOMAN CORP","https://www.wanxiangyun.net/search/detail?id=jp19880287840","1990","","",""
"【Title of corresponding document：KR20150019569A】 Composition for skin antioxidant, anti-imflamation, and skin whitening","摘要：本发明涉及一种皮肤用抗氧化、抗炎、美白组合物。根据本发明，花青素3-O-葡萄糖苷抑制自由基的产生，因此具有抗氧化作用。此外，花青素3-O-葡萄糖苷还抑制NO的生成，因此具有抗炎作用。花青素3-O-葡萄糖苷也抑制黑素生成，因此具有美白皮肤的效果。因此，该组合物可用作药物组合物、外用皮肤制剂、化妆品组合物或保健食品。该组合物包括化学式1表示的化合物作为活性成分。","주식회사엘지생활건강","https://www.wanxiangyun.net/search/detail?id=kr20130096621","2015","","",""
"【Title of corresponding document：KR20050074429A】 COSMETIC OR DERMATOLOGICAL PREPARATION WITH SKIN-WHITENING PROTEINS","摘要：本发明涉及一种含有皮肤美白蛋白的化妆品或皮肤科制剂。所述制剂具有有效的改性铜结合蛋白含量，所述辅基铜通过先前的交换反应提取，或所述蛋白质通过无铜重组产生。合适的蛋白质为金花青素、天青素、植物花青素、质体花青素、绿花青素、抗坏血酸氧化酶、铜蓝蛋白、漆酶、硝基还原酶和铜结合蛋白，如铜、锌-超氧化物歧化酶、双加氧酶、单加氧酶、氨基氧化酶、二氨基糖苷酶、细胞色素c-氧化酶、半乳糖氧化酶、赖氨酰氧化酶、阴极酚氧化酶、，N2O还原酶、血蓝蛋白、酪氨酸酶、泛素氧化酶及其混合物。本发明制剂可含有其他植物美白剂。","COTY BV","https://www.wanxiangyun.net/search/detail?id=de20035007141t","2007","","",""
"COSMETIC OR DERMATOLOGICAL PREPARATION WITH SKIN-LIGHTENING PROTEINS","摘要：本发明涉及一种含有皮肤美白蛋白的化妆品或皮肤科制剂。所述制剂具有有效的改性铜结合蛋白含量，所述辅基铜通过先前的交换反应提取，或所述蛋白质通过无铜重组产生。合适的蛋白质为金花青素、天青素、植物花青素、质体花青素、绿花青素、抗坏血酸氧化酶、铜蓝蛋白、漆酶、硝基还原酶和铜结合蛋白，如铜、锌-超氧化物歧化酶、双加氧酶、单加氧酶、氨基氧化酶、二氨基糖苷酶、细胞色素c-氧化酶、半乳糖氧","COTY BV","https://www.wanxiangyun.net/search/detail?id=at20030792321t","2007","","",""
"AN EXTRACT OF VACCINIUM VITIS IDAEA L. AND PHARMACEUTICAL COMPOSITION, COSMETIC COMPOSITION, FOOD AND USE THEREOF","摘要：一种葡萄越桔提取物，及其药物组合物、化妆品组合物、食品和用途。所述提取物包含多酚，例如花青素、原花青素、白藜芦醇、儿茶素、表儿茶素等。该提取物可抑制酪氨酸酶活性，美白皮肤，祛斑除皱，保湿，增加皮肤光滑度，提高皮肤敏感性","BEIJING GINGKO GROUP
									;,LI CHUNHUA
									;,LI YANMEI","https://www.wanxiangyun.net/search/detail?id=wo2008cn00740","2009","","",""
"Cosmetic and dermatologische preparation with proteins to the skin clarification","摘要：本发明涉及一种含有蛋白质的化妆品或皮肤科制剂，其适用于皮肤的澄清。该制剂含有有效含量的铜，形成了一种含有修饰蛋白质的化合物，通过先前的交换反应或rekombinante技术去除了前列腺素组中的铜。合适的蛋白质为金花青素、天青素、植物花青素、质体花青素、绿花青素、抗坏血酸氧化酶、铜蓝蛋白、漆酶、硝酸还原酶，以及以其无铜还原形式存在的铜形成蛋白质，例如铜、锌超氧化物歧化酶、双加氧酶、单加氧酶、氨基氧化酶、二氨基糖苷酶、细胞色素C氧化酶、半乳糖氧化酶、赖氨酰氧化酶、，儿茶酚胺氧化酶？2.O-Reduktase、血蓝蛋白、酪氨酸酶、泛素氧化酶及其混合物。该制剂可包含进一步的蔬菜澄清方法。","COTY BV","https://www.wanxiangyun.net/search/detail?id=de20021039029","2004","","",""
"【Title of corresponding document：KR20170012812A】 pH Cosmetic composition with changeable color and hydrogel pack with changeable color","摘要：本发明提供了一种化妆品组合物，其通过含有植物源性花青素提取物而根据皮肤上的pH变化改变颜色。此外，还提供了一种水凝胶包。根据本发明，化妆品组合物和水凝胶包含有花青素提取物，用户可以根据pH变化观察颜色变化，从而允许用户检查皮肤的物理状况。此外，化妆品组合物和水凝胶包装还带来花青素的有益作用，例如抗氧化功能、抗衰老功能、皱纹改善功能和皮肤美白功能。","BEAUTY COSMETIC CO LTD","https://www.wanxiangyun.net/search/detail?id=kr20150105051","2017","","",""
"【Title of corresponding document：US2010297272A1】 Cosmetic Composition Containing Lingonberry Extract and Its Uses","摘要：本发明涉及一种含有越橘提取物的化妆品组合物及其在皮肤美容中的用途。本发明提供了一种灵芝提取物，其中含有多酚成分，包括花青素、原花青素、白藜芦醇、儿茶素等。本发明还涉及越橘提取物在皮肤美容中的应用，包括但不限于美白、减少可见色素沉着、抗皱、保湿、平滑和改善皮肤敏感性。本发明还揭示了使用灵芝提取物制备的药物、化妆品组合物和食品。与现有技术的化妆品组合物相比，本发明所述的越橘提取物具有更高的效果和安全性。","ベイジンギンコグループ","https://www.wanxiangyun.net/search/detail?id=jp20100513616","2010","","",""
"BLEACHING AGENT AND COSMETIC","摘要：本发明提供一种细胞毒性低、漂白效果优异的漂白剂。解决方案：漂白剂包括压制过滤材料和/或主要由花青素聚合物组成的大果越桔果实提取物","KANEBO LTD","https://www.wanxiangyun.net/search/detail?id=jp20000190831","2002","","",""
"一种具有健肺益脾作用的巧克力","摘要：一种具有健肺益脾作用的巧克力,由以下组份组成:①0.1~0.5%质量的黄芪提取物;②30~80%质量的可可脂或/和可可液块;③0~67.9%质量的蜂花粉;④0.1~3%质量的香菇提取物。本发明将饮食和健肺益脾、保健之间","张春","https://www.wanxiangyun.net/search/detail?id=cn201510672672","2016","","",""
